accession,Strain,lineage,passed
GCF_001840725.1_ASM184072v1,00-10219,LIN-4,TRUE
GCA_001840755.1_ASM184075v1,00-15489,LIN-4,TRUE
GCA_001855805.1_ASM185580v1,00-R0023,LIN-4,TRUE
GCA_001848935.1_ASM184893v1,00-R0025,LIN-2,TRUE
GCA_001842745.1_ASM184274v1,00-R0086,LIN-2,TRUE
GCA_001848475.1_ASM184847v1,00-R0136,LIN-4,TRUE
GCA_001842665.1_ASM184266v1,00-R0139,LIN-4,TRUE
GCA_001841455.1_ASM184145v1,00-R0145,LIN-4,TRUE
GCA_001842415.1_ASM184241v1,00-R0178,LIN-4,TRUE
GCA_001848815.1_ASM184881v1,00-R0308,LIN-4,TRUE
GCA_001848855.1_ASM184885v1,00-R0434,LIN-2,TRUE
GCF_001841445.1_ASM184144v1,00-R1025,LIN-4,TRUE
GCA_001848325.1_ASM184832v1,00-R1027,LIN-4,TRUE
GCF_001849175.1_ASM184917v1,00-R1097,LIN-4,TRUE
GCA_002129955.1_ASM212995v1,00-R1152,LIN-4,TRUE
GCA_001848905.1_ASM184890v1,00-R1156,LIN-4,TRUE
GCA_001849045.1_ASM184904v1,00-R1158,LIN-4,TRUE
GCA_002128855.1_ASM212885v1,00-R1169,LIN-4,TRUE
GCA_001848695.1_ASM184869v1,00-R1178,LIN-4,TRUE
GCF_001848745.1_ASM184874v1,00-R1181,LIN-2,TRUE
GCA_001841345.1_ASM184134v1,00-R1208,LIN-4,TRUE
GCA_001848115.1_ASM184811v1,00-R1211,LIN-4,TRUE
GCA_001842605.1_ASM184260v1,00-R1244,LIN-2,TRUE
GCA_002128935.1_ASM212893v1,00-R1245-2,LIN-4,TRUE
GCA_001841375.1_ASM184137v1,00-R1245,LIN-4,TRUE
GCA_001843105.1_ASM184310v1,00-R1246,LIN-4,TRUE
GCA_001842445.1_ASM184244v1,00-R1360,LIN-4,TRUE
GCA_001842505.1_ASM184250v1,00-R1399,LIN-4,TRUE
GCA_001848885.1_ASM184888v1,00-R1405,LIN-4,TRUE
GCF_001848765.1_ASM184876v1,00-R1547,LIN-4,TRUE
GCF_001850465.1_ASM185046v1,00-R1549,LIN-4,TRUE
GCA_002128985.1_ASM212898v1,00-R1562,LIN-2,TRUE
GCA_001841425.1_ASM184142v1,00-R1569,LIN-4,TRUE
GCA_002130065.1_ASM213006v1,00-R1688,LIN-2,TRUE
GCA_001445175.1_ASM144517v1,001_13432,LIN-4,TRUE
