avg,long_bar,mean
0.14,772,0.12119472789115644
0.06,529,0.05305987959961529
0.17,279,0.13714285714285715
0.25,402,0.21631418721396745
0.15,286,0.125531914893617
0.1,638,0.08719383617193836
0.06,487,0.049281002908763166
0.34,399,0.3185949398182265
0.15,240,0.14242424242424243
0.14,282,0.12882882882882882
0.14,252,0.13970845481049565
0.13,211,0.13585037989479837
0.11,729,0.08513306959180005
0.14,261,0.1353300576799829
0.05,508,0.04453727506426735
0.15,653,0.13823536570524522
0.11,582,0.07961847389558233
0.06,587,0.05335820895522388
0.06,520,0.05171205605988215
0.17,248,0.14336685823754788
0.09,704,0.08561538461538461
0.31,377,0.27571428571428575
0.15,260,0.12454281776479541
0.31,371,0.307047619047619
0.12,469,0.08086075205640424
0.06,283,0.04768939393939394
0.15,228,0.14354936402180496
0.28,304,0.1410491707763697
0.16,248,0.13009838998211093
0.06,396,0.05162538699690403
0.06,382,0.04922358952096308
0.14,254,0.13227161832474926
0.1,807,0.07894132202191588
0.06,535,0.0546875
0.1,671,0.0896327289632729
0.08,593,0.07231404958677685
0.32,417,0.27564102564102566
0.14,250,0.13155172413793104
0.17,288,0.13826757141660384
0.28,441,0.26269955123960864
0.12,962,0.08274646186543014
0.15,261,0.1396805111821086
0.29,800,0.26477832512315275
0.36,667,0.3211764705882353
0.05,695,0.04409267610013994
0.09,996,0.08533763654419065
0.06,1030,0.05445860368140161
0.15,281,0.1332633324122686
