1,1.1,1.1.1,1.1.1.1,1.1.2,1.1.3,1.1.3.1,1.1.3.2,1.1.3.3,1.2.1,1.2.2,1.2.2.1,2,2.1,2.2,2.2.1,2.2.1.1,2.2.2,3,3.1.1,3.1.2,3.1.2.1,3.1.2.2,4.1,4.1.1,4.1.1.1,4.1.1.2,4.1.1.3,4.1.1.3.1,4.1.2,4.1.2.1,4.1.2.1.1,4.1.3,4.1.4,4.2,4.2.1,4.2.1.1,4.2.2,4.2.2.1,4.2.2.2,4.3,4.3.1,4.3.1.1,4.3.2,4.3.2.1,4.3.3,4.3.4,4.3.4.1,4.3.4.2,4.3.4.2.1,4.4,4.4.1,4.4.1.1,4.4.1.1.1,4.4.1.2,4.5,4.6,4.6.1,4.6.1.1,4.6.1.2,4.6.2,4.6.2.1,4.6.2.2,4.6.3,4.6.4,4.6.5,4.7,4.8,4.8.1,4.8.2,4.8.3,4.9.1,5,6,7,8,9,bov,cap,oryg
117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,161.0,161.0,161.0,161.0,161.0,161.0,219.0,219.0,219.0,219.0,219.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,181.0,181.0,181.0,181.0,181.0,181.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,2227.0,2227.0,2227.0,2227.0,2227.0,907.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,691.0,3157.0,3157.0,3157.0,3157.0,67.0,45.0,323.0,65,47.0,239.0,123.0,73.0,49.0
249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,163.0,163.0,163.0,163.0,163.0,163.0,273.0,273.0,273.0,273.0,273.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,929.0,371.0,371.0,371.0,371.0,371.0,371.0,1567.0,1567.0,1567.0,1567.0,1567.0,1567.0,1567.0,1567.0,1567.0,1567.0,3079.0,3079.0,3079.0,3079.0,3079.0,1089.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,2105.0,3259.0,3259.0,3259.0,3259.0,103.0,69.0,339.0,79,77.0,355.0,143.0,125.0,101.0
251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,317.0,317.0,317.0,317.0,317.0,317.0,491.0,491.0,491.0,491.0,491.0,1441.0,1441.0,1441.0,1441.0,1441.0,1441.0,1441.0,1441.0,1441.0,1441.0,1441.0,695.0,695.0,695.0,695.0,695.0,695.0,2075.0,2075.0,2075.0,2075.0,2075.0,2075.0,2075.0,2075.0,2075.0,2075.0,3193.0,3193.0,3193.0,3193.0,3193.0,2339.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,2327.0,3653.0,3653.0,3653.0,3653.0,331.0,131.0,505.0,83,81.0,543.0,649.0,155.0,107.0
281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,919.0,919.0,919.0,919.0,919.0,919.0,575.0,575.0,575.0,575.0,575.0,2009.0,2009.0,2009.0,2009.0,2009.0,2009.0,2009.0,2009.0,2009.0,2009.0,2009.0,745.0,745.0,745.0,745.0,745.0,745.0,2271.0,2271.0,2271.0,2271.0,2271.0,2271.0,2271.0,2271.0,2271.0,2271.0,3651.0,3651.0,3651.0,3651.0,3651.0,4293.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,7203.0,6527.0,6527.0,6527.0,6527.0,855.0,139.0,509.0,87,121.0,557.0,781.0,165.0,145.0
457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,1095.0,1095.0,1095.0,1095.0,1095.0,1095.0,623.0,623.0,623.0,623.0,623.0,2249.0,2249.0,2249.0,2249.0,2249.0,2249.0,2249.0,2249.0,2249.0,2249.0,2249.0,1009.0,1009.0,1009.0,1009.0,1009.0,1009.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,3981.0,3981.0,3981.0,3981.0,3981.0,4671.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,9573.0,8343.0,8343.0,8343.0,8343.0,899.0,169.0,527.0,91,135.0,605.0,877.0,187.0,175.0
515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,1421.0,1421.0,1421.0,1421.0,1421.0,1421.0,627.0,627.0,627.0,627.0,627.0,2675.0,2675.0,2675.0,2675.0,2675.0,2675.0,2675.0,2675.0,2675.0,2675.0,2675.0,1101.0,1101.0,1101.0,1101.0,1101.0,1101.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,3291.0,5079.0,5079.0,5079.0,5079.0,5079.0,4871.0,7181.0,7181.0,7181.0,7181.0,7181.0,7181.0,7181.0,7181.0,7181.0,7181.0,9699.0,11335.0,11335.0,11335.0,11335.0,1177.0,205.0,531.0,111,137.0,619.0,879.0,213.0,183.0
547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,1477.0,1477.0,1477.0,1477.0,1477.0,1477.0,867.0,867.0,867.0,867.0,867.0,2683.0,2683.0,2683.0,2683.0,2683.0,2683.0,2683.0,2683.0,2683.0,2683.0,2683.0,1283.0,1283.0,1283.0,1283.0,1283.0,1283.0,3609.0,3609.0,3609.0,3609.0,3609.0,3609.0,3609.0,3609.0,3609.0,3609.0,5353.0,5353.0,5353.0,5353.0,5353.0,4903.0,9019.0,9019.0,9019.0,9019.0,9019.0,9019.0,9019.0,9019.0,9019.0,9019.0,12231.0,11929.0,11929.0,11929.0,11929.0,1487.0,209.0,589.0,129,159.0,751.0,961.0,253.0,185.0
585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,891.0,891.0,891.0,891.0,891.0,2789.0,2789.0,2789.0,2789.0,2789.0,2789.0,2789.0,2789.0,2789.0,2789.0,2789.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,4341.0,4341.0,4341.0,4341.0,4341.0,4341.0,4341.0,4341.0,4341.0,4341.0,6503.0,6503.0,6503.0,6503.0,6503.0,5433.0,9461.0,9461.0,9461.0,9461.0,9461.0,9461.0,9461.0,9461.0,9461.0,9461.0,12647.0,12457.0,12457.0,12457.0,12457.0,1625.0,241.0,677.0,151,173.0,785.0,1147.0,347.0,195.0
615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,1853.0,1853.0,1853.0,1853.0,1853.0,1853.0,965.0,965.0,965.0,965.0,965.0,3929.0,3929.0,3929.0,3929.0,3929.0,3929.0,3929.0,3929.0,3929.0,3929.0,3929.0,1613.0,1613.0,1613.0,1613.0,1613.0,1613.0,6063.0,6063.0,6063.0,6063.0,6063.0,6063.0,6063.0,6063.0,6063.0,6063.0,6551.0,6551.0,6551.0,6551.0,6551.0,5587.0,,55.0,55.0,55.0,201.0,201.0,201.0,59.0,501.0,95.0,,,295.0,1037.0,737.0,2507.0,245.0,861.0,199,191.0,889.0,1171.0,443.0,197.0
669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,1933.0,1933.0,1933.0,1933.0,1933.0,1933.0,1033.0,1033.0,1033.0,1033.0,1033.0,4325.0,4325.0,4325.0,4325.0,4325.0,4325.0,4325.0,4325.0,4325.0,4325.0,4325.0,1689.0,1689.0,1689.0,1689.0,1689.0,1689.0,7547.0,7547.0,7547.0,7547.0,7547.0,7547.0,7547.0,7547.0,7547.0,7547.0,7111.0,7111.0,7111.0,7111.0,7111.0,5811.0,,113.0,113.0,113.0,1635.0,1635.0,1635.0,99.0,925.0,3313.0,,,837.0,1483.0,865.0,2689.0,277.0,1125.0,203,207.0,895.0,2125.0,471.0,215.0
