1,1.1,1.1.3,1.1.3.2,1.2.2,2,2.2,2.2.1,3,3.1.1,3.1.2,4,4.3,4.3.4,4.3.4.2,4.3.4.2.1,4.9
T22961G,G117295A,C15177G,T8188C,G20407A,G36008C,C16119A,C135329T,G12204A,T85985C,C34605A,T123520T,G14251A,G571943A,C40162T,T225495C,A62049A
C26347G,C281208T,T212674G,A25139G,G32773A,C39158G,C123454T,C215977T,G54842T,T1378725C,G993016A,T199470T,G162581A,T1037355C,G282188A,A550573C,G75940G
G65159A,G406389A,C280294T,G44996A,C77469T,C87468T,G139297T,C533547G,C69984A,A1523575G,C1914217A,G251575G,C534691T,G1297327A,G632330T,C1239078A,T206339T
C65663G,G423334A,A286580T,G101819A,A154051G,G147262T,C195682G,C797736T,A129576C,T1556430G,C2729454T,A342146A,T563420C,G2527676A,G784440T,G1740535A,T227098T
T68174C,C705570T,G317045A,C164682T,G227386T,C282892T,C213147A,A1906078G,C157129T,G1591545T,G3722702C,T392261T,G709226A,C2599821A,T990533C,C2729453A,T261869T
T74737G,C745876G,G321403A,G187285C,G483489A,G353365A,C213281T,C2078246G,G170671A,C1639226T,C4132949T,C445780C,A752343G,C3612009T,C1055049T,A4273842C,G311613G
G98966C,C1545119T,G496840A,G251224A,T486511C,C484596T,G222925A,T2344499G,C172492G,G2017026A,,T491742T,C764995G,,C1132368T,T4380236G,A384380A
T115499G,A1814135G,C577289T,G285096T,C540126T,G497491A,G267751C,T2825581G,G207079C,A2467098C,,G492150G,G773809A,,G1373170C,A4273842C,A420008A
C137233T,A1839306G,G765230A,A323526G,G552361A,T628864C,G270430C,T3412611C,T255373C,G2744388A,,A498531A,G796509T,,G1724120A,T4380236G,A541201A
C144564T,C2120953G,G832072C,G352804C,C553220T,C657142T,G305188T,C3498198T,T264992C,G3023684A,,T517358T,G1107917T,,C1769099A,,T903913T
G146788A,C2989683T,C852641T,A395537C,T866827C,T707334C,G363464A,G3626562A,C274463A,G3706260C,,A546357A,A1142266C,,G1771320A,,G979704G
C146872T,A1814135G,A877055C,G452754T,A886348G,G798355C,G379528T,G3976595T,G207079C,G4065300T,,A555991A,G1199547A,,A2019942G,,A993346A
C160976G,A1839306G,G1144221A,G251224A,G952984A,C811753T,C465300T,C4158493T,T255373C,G2017026A,,T584171T,C1452071A,,C2327492T,,A384380A
T115499G,C2120953G,C1184798T,G285096T,G1018811A,G497491A,A583171C,T2344499G,T264992C,A2467098C,,A599868A,A1740771C,,C2385695T,,A420008A
C137233T,C2989683T,C577289T,A323526G,A1033573G,T628864C,T721373G,T2825581G,C274463A,G2744388A,,G492150G,G1947903T,,G2443188A,,A541201A
C144564T,C4024967G,G765230A,G352804C,G552361A,C657142T,G267751C,T3412611C,G276539C,G3023684A,,A498531A,G796509T,,G1373170C,,T903913T
G146788A,C4054364T,G832072C,A395537C,C553220T,T707334C,G270430C,C3498198T,C301341A,G3706260C,,T517358T,G1107917T,,G1724120A,,G979704G
C146872T,G4243848A,C852641T,G452754T,T866827C,G798355C,G305188T,G3626562A,C324812T,G4065300T,,A546357A,A1142266C,,C1769099A,,A993346A
C160976G,T4286156C,A877055C,A453299G,A886348G,C811753T,G363464A,G3976595T,C342873T,C4171479G,,A555991A,G1199547A,,G1771320A,,T1396922T
G162226A,G4369848A,G1144221A,C480890G,G952984A,C972980T,G379528T,C4158493T,G363563A,,,T584171T,C1452071A,,A2019942G,,G1759252G
C167986T,G4404247A,C1184798T,G485893T,G1018811A,C1102468A,C465300T,C4311664T,C438470T,,,A599868A,A1740771C,,C2327492T,,G1907296G
C196874T,,C1293121T,G487246C,A1033573G,T1168776G,A583171C,,G440365A,,,T662911T,G1947903T,,C2385695T,,T2022868T
C272678T,,G1491275A,T530485C,G1072628A,A1201581C,T721373G,,C440878T,,,A757182A,C2053682T,,G2443188A,,T2269780T
T290374C,,C1697460T,G619695A,G1188232A,C1317655T,T738522G,,G447642C,,,G776100G,C2503625T,,A3006767C,,C2285251C
A326002G,,C1721745T,G631279A,A1214118G,T1556787C,A799666G,,C517389A,,,T931123T,C2736434A,,G3089679A,,T2779136T
C344288G,,G1967975A,C671794T,G1365430C,G1577241A,G866051A,,C523654T,,,A960367A,G3101119T,,G3158935C,,C2830525C
G357582A,,C2214069G,A689062G,G1677267A,T1643864C,C892416T,,T548326C,,,A1024346A,C3594124T,,A3267743G,,G3367765G
T378357G,,G2580759A,G697606A,G1805690A,A1651308G,A919351C,,C611977T,,,C1054784C,C3776706T,,C3504930T,,A3486977A
C393941T,,G2581971A,T710391G,G1971673A,A1678706C,T996205C,,G629714A,,,T1098523T,T3873392G,,G3514512C,,A3823159A
G396750A,,G2688891A,G710748T,G2047874A,A1831226G,A1071966G,,T652950C,,,A1107940A,G4135112A,,G3561155A,,A3898408A
T406274C,,T2842441C,C712143A,C2119694T,A1834177C,A1145848C,,C753174A,,,A1144585A,A4163944G,,G4043365T,,G4055801G
C420405T,,G2890112A,C715075T,T2127504C,A1877744C,A1285001C,,T762434G,,,A1211369A,G4220174A,,C4373475G,,A4204441A
G447525C,,A3132289G,G726198A,C2191428T,G1955941C,G1288698A,,C807405T,,,G1230778G,T4315384C,,A4403900G,,A4210274A
G456511A,,G3248276A,G747640A,G2284848A,G1980652T,A1322741G,,T906742C,,,A1248382A,T4340330G,,,,T4302036T
C469042T,,G3549346A,G786685T,C2330343A,C2072313A,C1541798T,,C919551T,,,A1250340A,C3776706T,,,,G4356110G
G492655A,,T3662543C,G1004547A,G2332153A,A2172380C,G1594906A,,C957306T,,,T1281771T,T3873392G,,,,A3898408A
C495473T,,G3707884A,A1077981G,G2355363T,A2185674G,C1620181G,,G991939A,,,T1367484T,G4135112A,,,,G4055801G
T555945C,,G3715012T,T1128665C,A2420173C,T2294007C,G1647436A,,G1002172A,,,A1490905A,A4163944G,,,,A4204441A
C564723T,,C3771123T,C1199722T,C2501007T,C2337179T,A1688064G,,A1007198G,,,A1608276A,G4220174A,,,,A4210274A
C580336A,,C3870870T,A1245061G,G2751502T,G2399734A,G1695037A,,C1008460T,,,T1688300T,T4315384C,,,,T4302036T
G591965A,,G4096875A,C1287533T,G2763624A,A2521428G,C1849051T,,C611977T,,,G1839759G,T4340330G,,,,G4356110G
C420405T,,G4117564A,C1479325A,T3001053C,T2543395C,T1885385G,,G629714A,,,T1849609T,,,,,
G447525C,,G3248276A,C712143A,G3016943C,C2673818G,A2112832C,,T652950C,,,C1859559C,,,,,
G456511A,,G3549346A,C715075T,G2284848A,T2711722G,C2177366T,,C753174A,,,G1971725G,,,,,
C469042T,,T3662543C,G726198A,C2330343A,G2741209A,C2202500T,,T762434G,,,T2158109T,,,,,
G492655A,,G3707884A,G747640A,G2332153A,G2833329A,C2315386A,,C807405T,,,T2328543T,,,,,
C495473T,,G3715012T,G786685T,G2355363T,G1955941C,A2354791G,,T906742C,,,T1281771T,,,,,
T555945C,,C3771123T,G1004547A,A2420173C,G1980652T,C1541798T,,C919551T,,,T1367484T,,,,,
C564723T,,C3870870T,A1077981G,C2501007T,C2072313A,G1594906A,,C957306T,,,A1490905A,,,,,
C580336A,,G4096875A,T1128665C,G2751502T,A2172380C,C1620181G,,G991939A,,,A1608276A,,,,,
G591965A,,G4117564A,C1199722T,G2763624A,A2185674G,G1647436A,,G1002172A,,,T1688300T,,,,,
G595501A,,,A1245061G,T3001053C,T2294007C,A1688064G,,A1007198G,,,G1839759G,,,,,
G615938A,,,C1287533T,G3016943C,C2337179T,G1695037A,,C1008460T,,,T1849609T,,,,,
G621390A,,,C1479325A,C3049806T,G2399734A,C1849051T,,C1009500T,,,C1859559C,,,,,
C627350G,,,C1482721G,G3052353A,A2521428G,T1885385G,,C1012815G,,,G1971725G,,,,,
A646531T,,,C1509360G,T3061362C,T2543395C,A2112832C,,G1071349C,,,T2158109T,,,,,
C649345T,,,T1530439C,A3183210G,C2673818G,C2177366T,,T1144409G,,,T2328543T,,,,,
G655707A,,,A1557518G,G3429876C,T2711722G,C2202500T,,T1152805A,,,G2388641G,,,,,
C678440T,,,G1624992A,C3458422A,G2741209A,C2315386A,,A1152863G,,,A2421816A,,,,,
G685955A,,,G1639002A,T3470324C,G2833329A,A2354791G,,C1153388T,,,T2425471T,,,,,
G720863T,,,C1640244T,C3470377T,G2948230A,G2505085A,,C1177184A,,,C2448458C,,,,,
G722852A,,,G1707800T,C3517413T,C3010993T,G2581052A,,C1240744A,,,T2723506T,,,,,
C726498A,,,G1756802A,G3534263C,G3033189A,A2738274C,,A1247391C,,,C2791098C,,,,,
G730087A,,,C1885612G,G3677203A,G3304966A,G2752122C,,G1265828A,,,C2807486C,,,,,
C752046T,,,C1899810T,G3691767T,C3597249G,C2775361T,,T1308317C,,,G2825466G,,,,,
C797597T,,,C2020026G,G3771585A,T3674157A,C2793810A,,G1371470A,,,A2886570A,,,,,
C810287G,,,G2094960A,G3824167C,T3775409C,G2903439A,,A1377568G,,,T2925962T,,,,,
C811492G,,,G2253891T,T4096967G,A3775441C,A2955957C,,C1450316T,,,C2988630C,,,,,
C812502T,,,C2279758T,G4121388A,C3830349T,G3137736T,,G1478357T,,,T2994187T,,,,,
T819213C,,,G2369460A,G4176694A,C3979990G,C3144623T,,G1495836A,,,C3003115C,,,,,
A850985G,,,G2414870A,G4238120A,G3993058A,C3200282T,,C1650406A,,,A3010420A,,,,,
C865761T,,,G2418554A,C4285318T,C4041581T,T3249025G,,A1676880G,,,A3031168A,,,,,
A895082G,,,C2513411G,C4299514T,A4167656G,A3375165C,,C1748439T,,,A3104189A,,,,,
C895120T,,,C2536740T,G4356477A,G4182387C,A3477942G,,C1764225T,,,A3174496A,,,,,
C910015A,,,A2702369G,G4360524C,A4205325G,G3587446A,,C1802047G,,,C3180988C,,,,,
C952597T,,,G2712566T,,G4254431A,T3612813C,,C1818286T,,,A3189242A,,,,,
C987601T,,,A2719938G,,T4267647C,A3643985C,,C1827468A,,,A3326554A,,,,,
G996219A,,,G2730348A,,C4290135T,A3704770G,,C1833025T,,,G3335708G,,,,,
T1002342C,,,C2755330T,,G4301075C,G4050811A,,G1908598A,,,A3420825A,,,,,
C1009490T,,,G2887243A,,G4308395A,G4115890C,,G1925136A,,,C3467465C,,,,,
G1022613A,,,G2911916A,,T4362568G,G4120390C,,T1926029C,,,C3530955C,,,,,
A1029997G,,,C3220048T,,,G4186678A,,G1977646A,,,G3638093G,,,,,
T1032524C,,,G3272697A,,,G4189210T,,C2003252T,,,A3681548A,,,,,
C1043136T,,,T3307922C,,,C4243460T,,G2011568C,,,A3690016A,,,,,
G1048102A,,,G3488278C,,,C4359653T,,C2034676T,,,A3830695A,,,,,
T1061386C,,,T3500037G,,,,,C2087652T,,,G3909235G,,,,,
A1066038G,,,G3520485T,,,,,C2186236T,,,G3984321G,,,,,
A1072342G,,,G3642173A,,,,,G2275764A,,,G4005114G,,,,,
A1083755G,,,C3651032T,,,,,T2284456G,,,A4008747A,,,,,
C1086648A,,,C3653225T,,,,,G2285558A,,,T4089058T,,,,,
T1111518C,,,G3659019A,,,,,G2309203A,,,T4095295T,,,,,
C1117405T,,,G3665931T,,,,,T2325320C,,,T4107074T,,,,,
C1119739T,,,G3718415C,,,,,T2335080C,,,T4112429T,,,,,
G1121071A,,,C3769784T,,,,,C2346929T,,,G4215484G,,,,,
G1139222A,,,A3785599C,,,,,G2348708A,,,G4251297G,,,,,
C1155700T,,,G3860187T,,,,,C2449826G,,,C4313128C,,,,,
G1157771C,,,T3878687G,,,,,G2452452A,,,T4407588T,,,,,
T1199019C,,,C3894150A,,,,,T2472029G,,,T4407588T,,,,,
A1228116G,,,G3911938A,,,,,T2516271C,,,,,,,,
G1237403A,,,G3973057C,,,,,C2536312T,,,,,,,,
A1083755G,,,C4000247A,,,,,G2591172A,,,,,,,,
C1086648A,,,C4010994T,,,,,G2656635A,,,,,,,,
T1111518C,,,G4018725A,,,,,G2661039A,,,,,,,,
C1117405T,,,G3659019A,,,,,C2688700T,,,,,,,,
C1119739T,,,G3665931T,,,,,T2700222C,,,,,,,,
G1121071A,,,G3718415C,,,,,C2712328T,,,,,,,,
G1139222A,,,C3769784T,,,,,C2346929T,,,,,,,,
C1155700T,,,A3785599C,,,,,G2348708A,,,,,,,,
G1157771C,,,G3860187T,,,,,C2449826G,,,,,,,,
T1199019C,,,T3878687G,,,,,G2452452A,,,,,,,,
A1228116G,,,C3894150A,,,,,T2472029G,,,,,,,,
G1237403A,,,G3911938A,,,,,T2516271C,,,,,,,,
C1314617T,,,G3973057C,,,,,C2536312T,,,,,,,,
G1320508A,,,C4000247A,,,,,G2591172A,,,,,,,,
C1320614G,,,C4010994T,,,,,G2656635A,,,,,,,,
C1356648T,,,G4018725A,,,,,G2661039A,,,,,,,,
C1369389T,,,G4084405A,,,,,C2688700T,,,,,,,,
G1369735A,,,G4095404A,,,,,T2700222C,,,,,,,,
C1374578T,,,A4130200G,,,,,C2712328T,,,,,,,,
T1374639A,,,G4346294C,,,,,G2738221A,,,,,,,,
G1387211A,,,,,,,,G2782498A,,,,,,,,
C1389866T,,,,,,,,C2798595T,,,,,,,,
C1397215G,,,,,,,,G2817747A,,,,,,,,
C1417019T,,,,,,,,A2895473G,,,,,,,,
G1417793A,,,,,,,,G2903050A,,,,,,,,
C1443354T,,,,,,,,C2910852G,,,,,,,,
G1514010T,,,,,,,,G2941179A,,,,,,,,
G1534548A,,,,,,,,G2958693A,,,,,,,,
G1560912A,,,,,,,,G2964594A,,,,,,,,
C1568178T,,,,,,,,G3010014A,,,,,,,,
A1575793G,,,,,,,,C3027548T,,,,,,,,
G1580181A,,,,,,,,C3043700T,,,,,,,,
C1581377T,,,,,,,,C3069566T,,,,,,,,
C1589739T,,,,,,,,A3072285C,,,,,,,,
C1590555T,,,,,,,,C3076172T,,,,,,,,
C1601528T,,,,,,,,G3165807A,,,,,,,,
A1604290T,,,,,,,,G3208600A,,,,,,,,
G1647830A,,,,,,,,C3212723A,,,,,,,,
T1659902C,,,,,,,,G3236442A,,,,,,,,
T1691520G,,,,,,,,T3244113C,,,,,,,,
C1721490G,,,,,,,,C3273107A,,,,,,,,
A1731563T,,,,,,,,G3306441A,,,,,,,,
A1739390G,,,,,,,,C3312620A,,,,,,,,
T1745446A,,,,,,,,C3385218T,,,,,,,,
T1791823C,,,,,,,,C3393640T,,,,,,,,
C1826343T,,,,,,,,G3437007C,,,,,,,,
G1826624A,,,,,,,,G3459081C,,,,,,,,
C1827553G,,,,,,,,C3515467T,,,,,,,,
C1829576T,,,,,,,,G3562338T,,,,,,,,
G1839329A,,,,,,,,C3645524T,,,,,,,,
C1848147A,,,,,,,,C3656206A,,,,,,,,
C1853974T,,,,,,,,T3685510C,,,,,,,,
G1873954T,,,,,,,,C3729342T,,,,,,,,
T1876739G,,,,,,,,T3869355C,,,,,,,,
C1886263G,,,,,,,,T3918649C,,,,,,,,
G1887284A,,,,,,,,A3994101G,,,,,,,,
G1902156A,,,,,,,,A4033711G,,,,,,,,
C1907177T,,,,,,,,T4052349G,,,,,,,,
G1923985A,,,,,,,,C4096636T,,,,,,,,
G1940307T,,,,,,,,C4195799A,,,,,,,,
T1956930G,,,,,,,,C4222131T,,,,,,,,
G1978807T,,,,,,,,C4226275T,,,,,,,,
C1979026T,,,,,,,,G4242075A,,,,,,,,
G2013943C,,,,,,,,G4292941A,,,,,,,,
G2023211T,,,,,,,,T4301870C,,,,,,,,
G2035937A,,,,,,,,G4305243A,,,,,,,,
T2066471C,,,,,,,,G4328492A,,,,,,,,
T2083124C,,,,,,,,C4396495A,,,,,,,,
G2090306A,,,,,,,,,,,,,,,,
G2092391T,,,,,,,,,,,,,,,,
C2096094T,,,,,,,,,,,,,,,,
A2096430C,,,,,,,,,,,,,,,,
G2138767C,,,,,,,,,,,,,,,,
G2177968T,,,,,,,,,,,,,,,,
G2185358A,,,,,,,,,,,,,,,,
A2249035G,,,,,,,,,,,,,,,,
G2255942T,,,,,,,,,,,,,,,,
G2309356A,,,,,,,,,,,,,,,,
G2321358C,,,,,,,,,,,,,,,,
G2348482T,,,,,,,,,,,,,,,,
G2374442A,,,,,,,,,,,,,,,,
C2397760G,,,,,,,,,,,,,,,,
A2425097C,,,,,,,,,,,,,,,,
G2448288A,,,,,,,,,,,,,,,,
G2450045A,,,,,,,,,,,,,,,,
C2451081G,,,,,,,,,,,,,,,,
C2503549A,,,,,,,,,,,,,,,,
C2509181G,,,,,,,,,,,,,,,,
G2528931A,,,,,,,,,,,,,,,,
G2530434T,,,,,,,,,,,,,,,,
G2538793A,,,,,,,,,,,,,,,,
T2544979A,,,,,,,,,,,,,,,,
C2553682T,,,,,,,,,,,,,,,,
A2569593G,,,,,,,,,,,,,,,,
G2573434T,,,,,,,,,,,,,,,,
C2574598T,,,,,,,,,,,,,,,,
G2602575A,,,,,,,,,,,,,,,,
A2611704C,,,,,,,,,,,,,,,,
C2622508T,,,,,,,,,,,,,,,,
G2643653A,,,,,,,,,,,,,,,,
C2652908G,,,,,,,,,,,,,,,,
G2663210A,,,,,,,,,,,,,,,,
G2688225C,,,,,,,,,,,,,,,,
G2704291A,,,,,,,,,,,,,,,,
A2727037T,,,,,,,,,,,,,,,,
G2731741A,,,,,,,,,,,,,,,,
G2745839A,,,,,,,,,,,,,,,,
G2755112A,,,,,,,,,,,,,,,,
A2764206G,,,,,,,,,,,,,,,,
G2773955C,,,,,,,,,,,,,,,,
A2791257T,,,,,,,,,,,,,,,,
G2809895A,,,,,,,,,,,,,,,,
C2817158A,,,,,,,,,,,,,,,,
G2824432A,,,,,,,,,,,,,,,,
A2894642G,,,,,,,,,,,,,,,,
G2897528A,,,,,,,,,,,,,,,,
G2899890T,,,,,,,,,,,,,,,,
C2926882T,,,,,,,,,,,,,,,,
C2940608T,,,,,,,,,,,,,,,,
T2948650C,,,,,,,,,,,,,,,,
G2992564A,,,,,,,,,,,,,,,,
T2993523C,,,,,,,,,,,,,,,,
A3031285T,,,,,,,,,,,,,,,,
C3097349T,,,,,,,,,,,,,,,,
G3137681A,,,,,,,,,,,,,,,,
A3169993G,,,,,,,,,,,,,,,,
C3188428T,,,,,,,,,,,,,,,,
G3190342A,,,,,,,,,,,,,,,,
G3197917A,,,,,,,,,,,,,,,,
C3202629T,,,,,,,,,,,,,,,,
G3229692A,,,,,,,,,,,,,,,,
G3233605A,,,,,,,,,,,,,,,,
G3241244A,,,,,,,,,,,,,,,,
G3247089A,,,,,,,,,,,,,,,,
A3254758C,,,,,,,,,,,,,,,,
