0,1,2,3,4,5,6
64,0,0,0,0,36,0
3,0,61,0,0,36,0
0,0,12,68,0,0,20
0,60,0,40,0,0,0
11,0,0,0,64,0,25
0,41,0,0,0,59,0
0,0,0,53,0,47,0
0,61,0,0,0,39,0
0,58,0,0,0,42,0
0,0,0,33,67,0,0
0,20,0,68,0,0,12
0,0,0,51,49,0,0
0,0,0,0,64,1,35
67,0,0,0,0,33,0
0,33,0,0,67,0,0
0,0,0,0,46,0,54
0,0,64,10,0,0,26
59,0,0,0,0,35,6
58,0,0,0,0,0,42
64,0,3,0,0,0,33
57,0,0,0,43,0,0
0,0,45,0,0,55,0
65,0,0,0,0,10,25
0,0,0,0,39,61,0
0,0,65,0,0,6,29
0,0,53,0,0,47,0
59,0,0,41,0,0,0
0,0,0,11,65,0,24
0,53,0,0,0,0,47
0,0,64,0,0,26,10
62,0,0,0,6,32,0
0,0,0,0,69,0,31
100,0,0,0,0,0,0
100,0,0,0,0,0,0
100,0,0,0,0,0,0
100,0,0,0,0,0,0
0,100,0,0,0,0,0
0,100,0,0,0,0,0
0,100,0,0,0,0,0
0,100,0,0,0,0,0
0,0,100,0,0,0,0
0,0,100,0,0,0,0
0,0,100,0,0,0,0
0,0,0,100,0,0,0
0,0,0,100,0,0,0
0,0,0,100,0,0,0
0,0,0,100,0,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
