0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.0,1.27,1.043,0.83,1.322,1.157,1.094,0.192,0.679,0.82,0.812,0.904,0.448,0.304,0.522,0.613,0.675,0.551,0.482,0.264,0.496,0.271,0.237,0.421,0.368,0.31,0.31,0.312,0.283,0.213,0.263,0.488,0.59,0.364,0.212,0.509,0.475,0.547,0.586,0.639,0.922,0.24
1.303,0.0,1.377,1.247,1.419,1.48,1.375,1.192,1.434,1.369,1.445,1.607,1.098,1.397,1.449,1.478,1.602,1.422,1.469,1.416,1.327,1.427,1.346,1.297,1.554,1.536,1.628,1.067,2.038,1.26,1.427,1.502,1.434,1.303,1.274,1.458,1.358,1.338,1.071,1.317,1.655,1.209
0.921,1.279,0.0,0.246,0.562,0.523,0.45,0.844,0.992,1.231,1.2,1.336,0.969,0.964,0.979,1.091,1.14,1.019,0.981,1.022,0.866,0.997,0.956,1.047,1.068,1.134,1.177,1.308,1.435,0.905,1.034,1.015,1.019,0.827,0.935,0.997,0.979,1.085,1.37,1.208,0.934,0.795
0.822,1.206,0.182,0.0,0.279,0.373,0.297,0.747,0.876,1.082,1.055,1.181,0.844,0.858,0.852,0.936,0.992,0.868,0.842,0.909,0.745,0.891,0.857,0.913,0.924,1.015,1.018,1.184,1.255,0.809,0.92,0.879,0.907,0.694,0.832,0.859,0.847,0.939,1.273,1.054,0.798,0.701
1.02,1.347,0.439,0.246,0.0,0.62,0.547,0.937,1.091,1.332,1.297,1.45,1.068,1.065,1.075,1.19,1.243,1.118,1.082,1.123,0.954,1.1,1.056,1.138,1.181,1.24,1.282,1.408,1.576,1.0,1.138,1.133,1.12,0.925,1.031,1.094,1.076,1.183,1.451,1.306,1.011,0.887
0.972,1.32,0.455,0.344,0.683,0.0,0.376,0.891,1.041,1.287,1.257,1.399,1.02,1.016,1.032,1.15,1.198,1.08,1.035,1.074,0.916,1.048,1.006,1.1,1.122,1.19,1.235,1.357,1.5,0.952,1.087,1.074,1.075,0.882,0.986,1.054,1.035,1.14,1.421,1.263,0.985,0.846
0.942,1.299,0.423,0.32,0.654,0.422,0.0,0.865,1.019,1.254,1.225,1.365,0.989,0.992,1.003,1.117,1.171,1.048,1.007,1.048,0.894,1.019,0.979,1.066,1.092,1.16,1.202,1.32,1.463,0.926,1.059,1.044,1.048,0.854,0.958,1.026,1.006,1.108,1.386,1.23,0.959,0.822
0.216,1.254,1.015,0.81,1.295,1.13,1.072,0.0,0.644,0.775,0.763,0.85,0.408,0.273,0.495,0.571,0.63,0.505,0.459,0.253,0.464,0.262,0.228,0.384,0.336,0.314,0.282,0.36,0.279,0.199,0.241,0.445,0.564,0.325,0.185,0.469,0.44,0.508,0.559,0.594,0.887,0.204
0.695,1.364,1.135,0.897,1.421,1.247,1.191,0.614,0.0,0.29,0.8,0.89,0.68,0.72,0.722,0.772,0.828,0.709,0.707,0.763,0.612,0.753,0.704,0.776,0.76,0.861,0.86,0.999,1.053,0.679,0.774,0.715,0.785,0.564,0.693,0.72,0.704,0.787,1.098,0.892,0.981,0.594
0.678,1.302,1.105,0.88,1.382,1.216,1.155,0.606,0.251,0.0,0.755,0.84,0.642,0.705,0.703,0.739,0.8,0.667,0.688,0.749,0.602,0.734,0.7,0.74,0.743,0.834,0.829,0.945,1.026,0.662,0.755,0.697,0.758,0.547,0.674,0.697,0.677,0.75,1.048,0.852,0.964,0.59
0.672,1.315,1.1,0.875,1.377,1.207,1.149,0.6,0.65,0.758,0.0,0.192,0.632,0.694,0.69,0.737,0.791,0.665,0.669,0.74,0.596,0.725,0.693,0.726,0.734,0.823,0.817,0.942,1.012,0.654,0.741,0.682,0.744,0.533,0.664,0.692,0.666,0.74,1.05,0.838,0.95,0.582
0.683,1.342,1.118,0.885,1.4,1.227,1.168,0.609,0.662,0.777,0.186,0.0,0.647,0.707,0.702,0.753,0.807,0.681,0.681,0.754,0.609,0.736,0.706,0.742,0.748,0.838,0.837,0.968,1.029,0.668,0.756,0.697,0.756,0.544,0.675,0.704,0.682,0.76,1.073,0.856,0.964,0.59
0.404,1.138,0.934,0.75,1.192,1.048,0.982,0.349,0.594,0.677,0.668,0.747,0.0,0.352,0.158,0.361,0.433,0.299,0.104,0.37,0.312,0.366,0.341,0.32,0.307,0.424,0.359,0.458,0.47,0.313,0.365,0.263,0.386,0.094,0.315,0.259,0.225,0.117,0.623,0.174,0.834,0.374
0.292,1.338,1.093,0.867,1.381,1.212,1.158,0.241,0.701,0.858,0.841,0.94,0.373,0.0,0.438,0.524,0.586,0.466,0.406,0.244,0.425,0.251,0.229,0.351,0.287,0.301,0.244,0.38,0.294,0.207,0.238,0.408,0.516,0.283,0.207,0.427,0.397,0.464,0.577,0.553,0.949,0.272
0.458,1.256,1.016,0.8,1.283,1.128,1.066,0.402,0.644,0.771,0.757,0.846,0.124,0.4,0.0,0.438,0.503,0.381,0.08,0.427,0.358,0.422,0.393,0.399,0.372,0.492,0.436,0.574,0.554,0.37,0.426,0.326,0.442,0.146,0.378,0.32,0.295,0.164,0.754,0.167,0.881,0.411
0.51,1.262,0.998,0.784,1.27,1.111,1.05,0.452,0.629,0.755,0.742,0.832,0.359,0.452,0.421,0.0,0.357,0.226,0.387,0.487,0.345,0.475,0.454,0.456,0.434,0.547,0.499,0.646,0.632,0.416,0.487,0.391,0.496,0.268,0.429,0.412,0.384,0.447,0.803,0.529,0.865,0.453
0.543,1.309,1.041,0.821,1.321,1.156,1.098,0.48,0.661,0.797,0.78,0.876,0.396,0.482,0.457,0.329,0.0,0.237,0.422,0.52,0.379,0.506,0.481,0.495,0.471,0.583,0.541,0.697,0.679,0.45,0.52,0.427,0.528,0.301,0.458,0.446,0.421,0.486,0.85,0.573,0.895,0.484
0.501,1.254,0.989,0.777,1.265,1.102,1.044,0.441,0.62,0.741,0.729,0.82,0.344,0.444,0.411,0.278,0.315,0.0,0.374,0.474,0.334,0.465,0.44,0.444,0.419,0.537,0.485,0.636,0.622,0.41,0.475,0.378,0.484,0.254,0.417,0.399,0.373,0.432,0.793,0.513,0.858,0.447
0.422,1.218,0.965,0.758,1.23,1.08,1.017,0.37,0.607,0.725,0.707,0.792,0.077,0.367,0.09,0.391,0.455,0.33,0.0,0.387,0.322,0.379,0.358,0.356,0.325,0.448,0.383,0.526,0.491,0.332,0.384,0.28,0.4,0.103,0.341,0.273,0.249,0.117,0.708,0.123,0.84,0.378
0.243,1.304,1.1,0.87,1.379,1.215,1.156,0.213,0.704,0.859,0.845,0.943,0.365,0.232,0.44,0.528,0.589,0.464,0.401,0.0,0.422,0.209,0.182,0.353,0.288,0.243,0.233,0.31,0.208,0.169,0.162,0.405,0.518,0.289,0.162,0.428,0.399,0.459,0.475,0.542,0.955,0.253
0.507,1.269,1.002,0.781,1.275,1.113,1.056,0.44,0.614,0.751,0.742,0.836,0.356,0.446,0.418,0.423,0.486,0.358,0.385,0.473,0.0,0.471,0.444,0.45,0.42,0.551,0.495,0.656,0.636,0.417,0.482,0.386,0.494,0.26,0.423,0.407,0.383,0.445,0.819,0.529,0.858,0.447
0.257,1.335,1.106,0.883,1.397,1.221,1.162,0.23,0.723,0.878,0.861,0.955,0.387,0.249,0.461,0.54,0.611,0.481,0.419,0.215,0.443,0.0,0.149,0.312,0.253,0.202,0.188,0.282,0.18,0.174,0.215,0.428,0.528,0.303,0.171,0.447,0.418,0.479,0.549,0.567,0.964,0.265
0.225,1.299,1.092,0.87,1.372,1.206,1.147,0.195,0.692,0.854,0.842,0.94,0.363,0.229,0.439,0.526,0.585,0.461,0.402,0.187,0.42,0.151,0.0,0.292,0.234,0.174,0.172,0.242,0.15,0.148,0.181,0.403,0.513,0.284,0.135,0.426,0.392,0.455,0.486,0.541,0.946,0.241
0.372,1.272,1.046,0.834,1.324,1.156,1.097,0.322,0.683,0.81,0.787,0.879,0.322,0.321,0.409,0.471,0.541,0.408,0.369,0.342,0.389,0.29,0.27,0.0,0.216,0.352,0.262,0.407,0.369,0.288,0.336,0.368,0.481,0.246,0.285,0.388,0.353,0.414,0.63,0.494,0.906,0.354
