1,1.1,1.1.2,1.1.3,1.1.3.2,1.2.2,1.2.2.1,2,2.2,2.2.1,3,3.1.1,4,4.1,4.1.1,4.1.1.3,4.1.2,4.1.2.1,4.2,4.2.2,4.2.2.2,4.3,4.3.2,4.3.2.1,4.3.3,4.3.4,4.3.4.1,4.3.4.2,4.3.4.2.1,4.4,4.4.1,4.4.1.1,4.4.1.2,4.6,4.6.1,4.6.1.1,4.6.1.2,4.8,4.9,4.9.1
217,19282.0,47.0,167.0,85.0,205.0,435.0,19153.0,19105.0,811.0,19084.0,19240.0,766.0,397.0,1435.0,641.0,563.0,501.0,347.0,123.0,95.0,159.0,19192.0,37.0,77.0,19840.0,1113.0,333.0,2711.0,5103.0,19408.0,1257.0,19120.0,19108.0,69.0,585.0,739.0,20545.0,534.0,107.0
243,1507.0,137.0,1527.0,355.0,285.0,19222.0,19168.0,843.0,2649.0,415.0,6135.0,1136.0,445.0,2961.0,867.0,2161.0,697.0,1153.0,531.0,607.0,937.0,1341.0,63.0,2043.0,4811.0,1995.0,19927.0,5583.0,20812.0,1515.0,19591.0,19183.0,407.0,1235.0,1181.0,793.0,5691.0,19479.0,199.0
461,2155.0,417.0,1685.0,649.0,539.0,1171.0,589.0,1107.0,3881.0,493.0,6735.0,1356.0,19510.0,4237.0,891.0,19660.0,1767.0,1229.0,1099.0,19558.0,2655.0,19453.0,487.0,2385.0,5817.0,20575.0,3821.0,11761.0,6125.0,4499.0,1853.0,427.0,765.0,1397.0,1223.0,2841.0,13597.0,2678.0,753.0
463,3339.0,699.0,2505.0,945.0,2399.0,2623.0,885.0,19426.0,9037.0,783.0,6867.0,19572.0,2465.0,5651.0,1677.0,19666.0,2177.0,1673.0,2019.0,19891.0,2791.0,19513.0,1343.0,3969.0,11199.0,5627.0,4671.0,18247.0,6405.0,4869.0,1935.0,19261.0,1651.0,1431.0,4161.0,4009.0,13673.0,4630.0,1399.0
19210,3519.0,1261.0,3689.0,1355.0,2435.0,2817.0,1513.0,1443.0,10215.0,915.0,6985.0,1976.0,3283.0,8371.0,4315.0,4061.0,2831.0,1903.0,2563.0,3171.0,20017.0,2565.0,1429.0,4411.0,25820.0,5695.0,4889.0,18819.0,6787.0,20611.0,2537.0,787.0,22129.0,2079.0,20305.0,5067.0,16229.0,7700.0,1405.0
529,8105.0,1841.0,4053.0,1525.0,2671.0,3241.0,19585.0,19492.0,12173.0,1025.0,7137.0,2208.0,3685.0,9227.0,20446.0,4295.0,3089.0,2065.0,2833.0,3557.0,20074.0,3133.0,1987.0,20635.0,,6083.0,20614.0,,7495.0,5491.0,3337.0,797.0,25704.0,2167.0,25388.0,6181.0,17117.0,9854.0,2005.0
643,9169.0,19606.0,4123.0,1811.0,2731.0,3377.0,2407.0,1859.0,14601.0,1177.0,21547.0,2480.0,20323.0,21793.0,20578.0,5157.0,4347.0,2213.0,6585.0,20371.0,20137.0,20245.0,2263.0,5931.0,,8583.0,6129.0,,7995.0,7897.0,5915.0,1765.0,13605.0,2461.0,7001.0,6281.0,18293.0,10492.0,25316.0
823,17109.0,2301.0,4235.0,2011.0,2733.0,3397.0,2511.0,19858.0,15469.0,19468.0,8849.0,2484.0,4337.0,11141.0,5575.0,20647.0,4765.0,2739.0,21895.0,4819.0,3749.0,20278.0,3361.0,7687.0,,9233.0,7559.0,,9111.0,9043.0,23356.0,1783.0,,2885.0,8461.0,6645.0,,14908.0,20335.0
869,17239.0,19768.0,5273.0,2247.0,4273.0,3499.0,3061.0,3389.0,16921.0,1467.0,10659.0,2512.0,4433.0,11207.0,5601.0,8993.0,5013.0,2877.0,10455.0,6007.0,3871.0,4633.0,4891.0,7925.0,,9501.0,7751.0,,22117.0,9125.0,14357.0,1963.0,,2921.0,8815.0,7457.0,,,4989.0
883,18079.0,2515.0,5805.0,2387.0,4525.0,4221.0,3167.0,3493.0,17647.0,1483.0,11829.0,19791.0,6379.0,11857.0,21061.0,11611.0,20998.0,2899.0,22309.0,6227.0,5141.0,4859.0,5331.0,25500.0,,9555.0,8861.0,,12157.0,9379.0,18601.0,2059.0,,3059.0,13081.0,21292.0,,,20665.0
931,18303.0,2775.0,6597.0,2427.0,20488.0,5603.0,3883.0,3893.0,18457.0,1603.0,25708.0,2866.0,6615.0,12697.0,8237.0,12145.0,6765.0,3869.0,13037.0,21496.0,5271.0,5061.0,5547.0,21679.0,,23488.0,10125.0,,25656.0,10219.0,,2267.0,,3277.0,13895.0,21325.0,,,6011.0
19360,18749.0,2803.0,7427.0,2449.0,4981.0,7195.0,3955.0,4195.0,,1769.0,15829.0,2966.0,21232.0,12953.0,8811.0,,7349.0,4187.0,23200.0,9311.0,20983.0,5785.0,5555.0,9211.0,,14111.0,22144.0,,12393.0,11953.0,,19741.0,,4163.0,15209.0,7727.0,,,6087.0
