0,1,2,3,4,5,6
<<<<<<< HEAD
0.0,1.755,1.726,1.751,1.736,1.693,1.697
1.756,0.0,1.754,1.79,1.783,1.741,1.744
1.727,1.755,0.0,1.733,1.755,1.703,1.706
1.756,1.792,1.736,0.0,1.755,1.741,1.734
1.737,1.783,1.754,1.751,0.0,1.712,1.706
1.716,1.762,1.723,1.759,1.734,0.0,1.676
1.724,1.77,1.732,1.757,1.733,1.681,0.0
=======
0.0,2.916,2.788,2.909,2.942,2.509,2.558
2.942,0.0,2.868,2.935,2.98,2.667,2.567
2.892,2.958,0.0,2.927,3.005,2.468,2.567
2.954,2.939,2.839,0.0,2.931,2.646,2.531
3.022,3.023,2.928,2.964,0.0,2.684,2.37
1.85,2.87,1.69,2.867,2.883,0.0,2.45
2.837,2.901,2.674,2.771,1.72,2.546,0.0
>>>>>>> a17e7e9 (new update)
