<<<<<<< HEAD
Sample_id,Mixinfect,Mixinfect (modified),Demixer,QuantTB
ERR221620,L1/L1,L1/L1,L1/L1,L1/L1
ERR221621,L1/L1,L1/L1,L1/L1,L1/L1
ERR221622,L1,L1,L1,L4/L1
ERR221623,L1/L1,L1/L1,L1/L1,L1/L1
ERR221624,L1,L1,L1,L1
ERR221625,L1/L1,L1/L1,L1/L1,L1/L1
ERR221626,L1/L1,L1/L1,L1/L1,L1/L1
ERR221627,L1/L1,L1/L1,L1/L1,L1/L1
ERR221628,L2/L2,L2/L2,L2/L2,L2/L2
ERR221629,L2/L2,L2/L2,L2/L2,L2/L2
ERR221630,L2/L2,L2/L2,L2/L2,L2/L2
ERR221631,L2,L2,L2/L2,L2/L2
ERR221632,L2/L2,L2/L2,L2/L4,L2/L4
ERR221633,L2,L2,L2,L2
ERR221634,L2/L2,L2/L2,L2/L1,L2/L2
ERR221635,L2/L2,L2/L2,L2/L4,L2/L4
ERR221636,L3/L4,L4/L3,L4/L3,L4/L3
ERR221637,L4/L3,L3/L4,L3/L4,L3
ERR221638,L3/L4,L4/L3,L4/L3,L4/L3
ERR221639,L3,L4,L4,L4
ERR221640,L4/L3,L3/L4,L3/L4,L3
ERR221641,L4/L3,L3/L4,L3/L4,L3/L4
ERR221642,L4,L3,L3,L3
ERR221643,L3/L4,L4/L3,L4/L3,L4/L3
ERR221644,L4/L4,L4/L4,L4/L4,L4/L4
ERR221645,L4/L4,L4/L4,L4/L4,L4/L4
ERR221646,L4,L4,L4,L4/L4
ERR221647,L4/L4,L4/L4,L4/L4,L4/L4
ERR221648,L4,L4,L4/L4,L4
ERR221649,L4/L4,L4/L4,L4/L4,L4
ERR221650,L4/L4,L4/L4,L4/L4,L4
ERR221651,L4/L4,L4/L4,L4/L4,L4/L4
ERR221652,L2/L4,L2/L4,L2/L4,L2/L4
ERR221653,L4/L2,L4/L2,L4/L2,L4/L2
ERR221654,L4/L2,L4/L2,L4/L2,L4/L2
ERR221655,L2/L4,L2/L4,L2/L4,L2
ERR221656,L2/L4,L2/L4,L2/L4,L2/L4
ERR221657,L4,L4,L4,L4
ERR221658,L2,L2,L2,L2
ERR221659,L4/L2,L4/L2,L4/L2,L4/L2
ERR221660,L1/L3,L1/L3,L1/L3,L1/L4/L3
ERR221661,L3,L3,L3,L3/L3
ERR221662,L3/L1,L3/L1,L3/L1,L3/L1
ERR221663,L1/L3,L1/L3,L1/L3,L1/L4/L3
ERR221664,L3/L1,L3/L1,L3/L1,L3/L3
ERR221665,L3/L1,L3/L1,L3/L1,L3/L1
ERR221666,L1/L3,L1/L3,L1/L3,L1/L3
ERR221667,L1,L1,L1,L1
=======
Sample_id,Mixinfect,Mixinfect (with corrected discrepancies),Demixer,QuantTB,Mixed
ERR221620,L1/L1,L1/L1,L1/L1,L1/L1,Yes
ERR221621,L1/L1,L1/L1,L1/L1,L1/L1,Yes
ERR221622,L1,L1,L1,L4/L1,No
ERR221623,L1/L1,L1/L1,L1/L1,L1/L1,Yes
ERR221624,L1,L1,L1,L1,No
ERR221625,L1/L1,L1/L1,L1/L1,L1/L1,Yes
ERR221626,L1/L1,L1/L1,L1/L1,L1/L1,Yes
ERR221627,L1/L1,L1/L1,L1/L1,L1/L1,Yes
ERR221628,L2/L2,L2/L2,L2/L2,L2/L2,Yes
ERR221629,L2/L2,L2/L2,L2/L2,L2/L2,Yes
ERR221630,L2/L2,L2/L2,L2/L2,L2/L2,Yes
ERR221631,L2,L2,L2/L2,L2/L2,No
ERR221632,L2/L2,L2/L2,L2/L4,L2/L4,Yes
ERR221633,L2,L2,L2,L2,No
ERR221634,L2/L2,L2/L2,L2/L_,L2/L2,Yes
ERR221635,L2/L2,L2/L2,L2/L4,L2/L4,Yes
ERR221636,L3/L4,L4/L3,L4/L3,L4/L3,Yes
ERR221637,L4/L3,L3/L4,L3/L4,L3,Yes
ERR221638,L3/L4,L4/L3,L4/L3,L4/L3,Yes
ERR221639,L3,L4,L4,L4,No
ERR221640,L4/L3,L3/L4,L3/L4,L3,Yes
ERR221641,L4/L3,L3/L4,L3/L4,L3/L4,Yes
ERR221642,L4,L3,L3,L3,No
ERR221643,L3/L4,L4/L3,L4/L3,L4/L3,Yes
ERR221644,L4/L4,L4/L4,L4/L4,L4/L4,Yes
ERR221645,L4/L4,L4/L4,L4/L4,L4/L4,Yes
ERR221646,L4,L4,L4,L4/L4,No
ERR221647,L4/L4,L4/L4,L4/L4,L4/L4,Yes
ERR221648,L4,L4,L4,L4,No
ERR221649,L4/L4,L4/L4,L4/L4,L4,Yes
ERR221650,L4/L4,L4/L4,L4/L4,L4,Yes
ERR221651,L4/L4,L4/L4,L4/L4,L4/L4,Yes
ERR221652,L2/L4,L2/L4,L2/L4,L2/L4,Yes
ERR221653,L4/L2,L4/L2,L4/L2,L4/L2,Yes
ERR221654,L4/L2,L4/L2,L4/L2,L4/L2,Yes
ERR221655,L2/L4,L2/L4,L2/L4,L2,Yes
ERR221656,L2/L4,L2/L4,L2/L4,L2/L4,Yes
ERR221657,L4,L4,L4,L4,No
ERR221658,L2,L2,L2,L2,No
ERR221659,L4/L2,L4/L2,L4/L2,L4/L2,Yes
ERR221660,L1/L3,L1/L3,L1/L3,L1/L4/L3,Yes
ERR221661,L3,L3,L3,L3/L3,No
ERR221662,L3/L1,L3/L1,L3/L1,L3/L1,Yes
ERR221663,L1/L3,L1/L3,L1/L3,L1/L4/L3,Yes
ERR221664,L3/L1,L3/L1,L3/L1,L3/L3,Yes
