1,1.1,1.1.2,1.1.3,1.1.3.2,1.2.2,1.2.2.1,2,2.2,2.2.1,3,3.1.1,4,4.1,4.1.1,4.1.1.3,4.1.2,4.1.2.1,4.2,4.2.2,4.2.2.2,4.3,4.3.2,4.3.2.1,4.3.3,4.3.4,4.3.4.1,4.3.4.2,4.3.4.2.1,4.4,4.4.1,4.4.1.1,4.4.1.2,4.6,4.6.1,4.6.1.1,4.6.1.2,4.8,4.9,4.9.1,bov
219,22559.0,47.0,167.0,85.0,205.0,451.0,22412.0,22355.0,917.0,22334.0,22502.0,868.0,413.0,1593.0,679.0,589.0,523.0,361.0,123.0,95.0,159.0,22451.0,37.0,77.0,23252.0,1243.0,343.0,3081.0,5841.0,22697.0,1399.0,22373.0,22358.0,69.0,619.0,839.0,24158.0,560.0,107.0,269.0
247,1675.0,137.0,1699.0,371.0,289.0,22484.0,22427.0,951.0,3009.0,431.0,7105.0,1266.0,467.0,3353.0,975.0,2445.0,791.0,1283.0,557.0,645.0,1053.0,1489.0,63.0,2313.0,5523.0,2217.0,23375.0,6417.0,24506.0,1685.0,22922.0,22442.0,423.0,1377.0,1315.0,897.0,6541.0,22789.0,199.0,469.0
483,2439.0,433.0,1883.0,695.0,565.0,1301.0,623.0,1237.0,4413.0,515.0,7803.0,1506.0,22823.0,4821.0,1003.0,23018.0,1969.0,1371.0,1229.0,22886.0,3015.0,22754.0,509.0,2703.0,6717.0,24191.0,4343.0,13769.0,7093.0,5177.0,2069.0,443.0,867.0,1549.0,1365.0,3221.0,15907.0,3046.0,853.0,1185.0
485,3823.0,793.0,2841.0,1063.0,2721.0,2979.0,993.0,22715.0,10523.0,887.0,7955.0,22900.0,2791.0,6493.0,1875.0,23027.0,2461.0,1865.0,2241.0,23336.0,3167.0,22826.0,1491.0,4513.0,13127.0,6467.0,5371.0,21399.0,7421.0,5583.0,2151.0,22532.0,1841.0,1587.0,4741.0,4557.0,15995.0,5326.0,1551.0,1429.0
22469,4031.0,1403.0,4207.0,1505.0,2759.0,3195.0,1683.0,1601.0,12013.0,1027.0,8097.0,2198.0,3759.0,9713.0,4937.0,4619.0,3211.0,2119.0,2909.0,3637.0,23483.0,2911.0,1585.0,5079.0,31008.0,6545.0,5607.0,22051.0,7861.0,24233.0,2875.0,891.0,26240.0,2353.0,23852.0,5803.0,19055.0,8896.0,1557.0,22802.0
555,9429.0,2055.0,4611.0,1697.0,3035.0,3713.0,22913.0,22805.0,14235.0,1147.0,8273.0,2494.0,4203.0,10735.0,24032.0,4915.0,3541.0,2335.0,3213.0,4073.0,23573.0,3589.0,2209.0,24263.0,,7047.0,24236.0,,8673.0,6311.0,3819.0,901.0,30856.0,2451.0,30400.0,7155.0,20085.0,11494.0,2227.0,1741.0
681,10675.0,22937.0,4695.0,2019.0,3103.0,3873.0,2731.0,2075.0,17085.0,1311.0,25454.0,2810.0,23879.0,25733.0,24194.0,5895.0,4973.0,2499.0,7641.0,23942.0,23639.0,23762.0,2549.0,6843.0,,9939.0,7097.0,,9309.0,9201.0,6825.0,1967.0,15915.0,2787.0,8115.0,7271.0,21451.0,12338.0,30304.0,2215.0
929,20077.0,2597.0,4819.0,2233.0,3105.0,3897.0,2847.0,23273.0,18139.0,22778.0,10311.0,2814.0,4963.0,13059.0,6409.0,24275.0,5473.0,3111.0,25865.0,5531.0,4271.0,23813.0,3855.0,8879.0,,10741.0,8743.0,,10613.0,10531.0,27806.0,1987.0,,3269.0,9805.0,7709.0,,17478.0,23891.0,2711.0
977,20225.0,23150.0,6021.0,2533.0,4861.0,4011.0,3507.0,3889.0,19861.0,1631.0,12523.0,2848.0,5101.0,13141.0,6437.0,10473.0,5737.0,3259.0,12295.0,6961.0,4403.0,5329.0,5609.0,9233.0,,11047.0,8951.0,,26222.0,10627.0,16777.0,2183.0,,3309.0,10271.0,8631.0,,,5711.0,3233.0
991,21201.0,2851.0,6697.0,2707.0,5205.0,4805.0,3633.0,4003.0,20705.0,1649.0,13845.0,23179.0,7395.0,13881.0,24833.0,13599.0,24752.0,3283.0,26477.0,7207.0,5879.0,5573.0,6083.0,30548.0,,11103.0,10327.0,,14217.0,10909.0,21815.0,2329.0,,3505.0,15293.0,25112.0,,,24299.0,3533.0
