,0
0,medium
1,high
2,high
3,medium
4,high
5,medium
6,medium
7,medium
8,medium
9,medium
10,medium
11,low
12,low
13,medium
14,medium
15,high
16,medium
17,high
18,medium
19,medium
20,low
21,medium
22,medium
23,low
24,medium
25,medium
26,high
27,medium
28,high
29,medium
30,high
31,low
32,medium
33,low
34,medium
35,medium
36,high
37,high
38,high
39,medium
40,high
41,high
42,high
43,low
44,low
45,medium
46,medium
47,medium
48,high
49,high
50,medium
51,medium
52,medium
53,medium
54,low
55,low
56,medium
57,medium
58,medium
59,medium
60,medium
61,high
62,medium
63,medium
64,medium
65,low
66,medium
67,high
68,low
69,medium
70,low
71,medium
72,medium
73,medium
74,low
75,high
76,high
77,high
78,high
79,medium
80,high
81,medium
82,high
83,high
84,high
85,high
86,high
87,medium
88,low
89,high
90,high
91,high
92,high
93,high
94,high
95,high
96,high
97,high
98,high
99,high
100,medium
101,low
102,high
103,high
104,high
105,high
106,high
107,high
108,high
109,high
110,high
111,high
112,medium
113,medium
114,high
115,low
116,high
117,high
118,high
119,high
120,high
121,high
122,high
123,high
124,high
125,medium
126,high
127,high
128,high
129,high
130,high
131,high
132,high
133,high
134,high
135,high
136,medium
137,high
138,high
139,high
140,high
141,low
142,high
143,high
144,high
145,high
146,high
147,high
148,high
149,high
150,high
151,high
152,high
153,high
154,high
155,high
156,high
157,high
158,high
159,high
160,high
161,low
162,high
163,high
164,high
165,high
166,high
167,high
168,high
169,high
170,high
171,high
172,high
173,high
174,high
175,high
176,high
177,high
178,high
179,high
180,high
181,high
182,high
183,high
184,high
185,high
186,high
187,high
188,medium
189,medium
190,high
191,medium
192,medium
193,high
194,medium
195,high
196,high
197,medium
198,medium
199,medium
200,high
201,high
202,high
203,medium
204,medium
205,high
206,medium
207,medium
208,medium
209,high
210,low
211,medium
212,high
213,high
214,high
215,high
216,medium
217,medium
218,high
219,high
220,high
221,high
222,high
223,high
224,high
225,high
226,high
227,high
228,high
229,high
230,high
231,high
232,high
233,high
234,high
235,high
236,medium
237,medium
238,medium
239,high
240,high
241,high
242,medium
243,medium
244,high
245,medium
246,high
247,medium
248,high
249,high
250,high
251,medium
252,high
253,medium
254,high
255,low
256,low
257,low
258,low
259,high
260,low
261,low
262,high
263,low
264,low
265,low
266,low
267,high
268,low
269,high
270,high
271,low
272,low
273,low
274,low
275,medium
276,high
277,high
278,high
279,high
280,low
281,low
282,high
283,low
284,high
285,low
286,high
287,low
288,high
289,low
290,high
