.79,.09,.10
.80,.09,.10
.80,.09,.10
.77,.11,.11
.81,.09,.08
.82,.09,.07
.82,.10,.07
.77,.11,.11
.20,.62,.17
.18,.64,.16
.19,.62,.17
.20,.63,.16
.18,.65,.15
.18,.64,.16
.19,.63,.16
.20,.62,.16
.26,.24,.49
.14,.12,.73
.29,.24,.45
.29,.27,.43
.14,.12,.73
.15,.12,.71
.14,.12,.73
.15,.12,.72
.19,.46,.34
.22,.30,.47
.18,.30,.50
.23,.35,.41
.24,.35,.40
.25,.34,.40
.26,.34,.39
.24,.34,.40
.18,.65,.16
.27,.27,.44
.23,.39,.36
.19,.64,.16
.20,.59,.20
.29,.27,.42
.18,.65,.16
.19,.59,.20
.76,.08,.15
.14,.09,.75
.58,.07,.34
.58,.07,.33
.14,.10,.75
.17,.09,.73
.81,.08,.09
.81,.08,.09
