avg,long_bar,mean
0.29,282,0.28976982097186704
0.31,170,0.2894736842105263
0.3,401,0.2731313131313131
0.31,457,0.2900181488203266
0.28,308,0.27695724023961993
0.28,137,0.2786034353995519
0.29,547,0.2935211651014019
0.3,258,0.26899676375404535
0.33,265,0.28690109890109894
0.29,164,0.26383838383838387
0.29,392,0.26906621392190155
0.29,165,0.2789825970548862
0.31,380,0.29192697768762677
0.32,121,0.28630952380952385
0.3,281,0.27157190635451506
0.28,630,0.2753030303030303
0.28,342,0.2674731182795699
0.29,193,0.28552330022918254
0.29,91,0.27908163265306124
0.27,195,0.25787155963302755
0.29,198,0.27373598718828646
0.3,257,0.27850467289719627
0.3,163,0.2811657414750198
0.28,433,0.28191950464396287
0.3,82,0.27792181890706025
0.29,237,0.28084730803177405
0.29,321,0.2724252491694352
0.3,146,0.29238861386138615
0.29,463,0.2910976442471833
0.3,384,0.26840480274442535
0.31,147,0.3014443500424808
0.29,489,0.29375
0.31,557,0.2874701036407122
0.31,533,0.28887949260042284
0.28,534,0.2722527472527473
0.28,148,0.298649142022636
0.3,264,0.26892542465255703
0.29,98,0.26356060606060605
0.28,285,0.276559405940594
0.32,165,0.2906552094522019
0.32,467,0.2987431264728987
0.3,217,0.29027322404371586
0.29,68,0.26981351981351986
0.3,255,0.3009582396782207
0.3,470,0.29662471395881
0.29,231,0.28785714285714287
0.29,355,0.27692307692307694
0.3,493,0.2819047619047619
0.28,386,0.2836489898989899
0.3,329,0.27151807228915664
0.3,468,0.28125
0.3,76,0.2814814814814815
0.3,313,0.29047619047619044
0.32,435,0.28367208013225714
0.28,352,0.28377903210881833
0.31,143,0.2719504643962848
0.28,351,0.2737891737891738
0.29,114,0.2921637426900585
0.28,392,0.28047619047619043
0.29,295,0.28081343943412906
0.31,137,0.2739463601532567
0.3,240,0.303743961352657
0.31,250,0.29059727971614424
0.31,276,0.295573074590661
0.28,284,0.2763748079877112
0.29,270,0.29780219780219785
0.29,396,0.27702899510128426
0.29,360,0.29103535353535354
0.32,156,0.3014120667522464
0.29,80,0.28093578894972626
0.28,257,0.26625850340136054
0.31,372,0.3024073707152764
0.29,399,0.2686628383921247
0.29,163,0.27930756843800325
0.29,262,0.28640109890109894
0.28,383,0.2881992602866389
0.3,240,0.2718181818181818
0.3,139,0.2741823675790971
0.3,337,0.27662930676629305
0.3,364,0.2715511551155116
0.28,140,0.2609115347018573
0.28,233,0.2716465863453815
0.31,390,0.27759900990099007
0.3,398,0.28521020264139535
0.3,207,0.30243445692883897
0.27,489,0.27070707070707073
0.3,165,0.28284931506849315
0.28,376,0.2697910784867307
0.3,149,0.2816552250190694
0.29,401,0.2942546583850931
0.31,285,0.2854395604395604
0.33,259,0.2841595024693616
0.3,148,0.30117382617382615
0.29,262,0.26992409867172673
