1,1.1,1.1.1,1.1.1.1,1.1.2,1.1.3,1.1.3.1,1.1.3.2,1.1.3.3,1.2.1,1.2.2,1.2.2.1,2,2.1,2.2,2.2.1,2.2.1.1,2.2.2,3,3.1.1,3.1.2,3.1.2.1,4,4.1,4.1.1,4.1.1.1,4.1.1.2,4.1.1.3,4.1.2,4.1.2.1,4.1.3,4.1.4,4.2,4.2.1,4.2.1.1,4.2.2,4.2.2.1,4.2.2.2,4.3,4.3.1,4.3.2,4.3.2.1,4.3.3,4.3.4,4.3.4.1,4.3.4.2,4.3.4.2.1,4.4,4.4.1,4.4.1.1,4.4.1.1.1,4.4.1.2,4.4.2,4.5,4.6,4.6.2,4.6.2.2,4.6.4,4.6.5,4.7,4.8,4.8.1,4.9,4.9.1,6,7,8,bov,oryg
759.0,759.0,759.0,759.0,759.0,759.0,759.0,759.0,759.0,759.0,759.0,759.0,1333.0,1333.0,1333.0,1333.0,1333.0,1333.0,1983.0,1983.0,1983.0,1983.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,5016.0,3571.0,33487.0,124347.0,1039.0,217
851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,5217.0,5217.0,5217.0,5217.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,6924.0,4593.0,35145.0,124818.0,2233.0,146275
2331.0,2331.0,2331.0,2331.0,2331.0,2331.0,2331.0,2331.0,2331.0,2331.0,2331.0,2331.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0,6371.0,6371.0,6371.0,6371.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,8262.0,4775.0,46309.0,126937.0,6541.0,263
2353.0,2353.0,2353.0,2353.0,2353.0,2353.0,2353.0,2353.0,2353.0,2353.0,2353.0,2353.0,5739.0,5739.0,5739.0,5739.0,5739.0,5739.0,7245.0,7245.0,7245.0,7245.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,124781.0,5299.0,132609.0,28235.0,8679.0,673
123516.0,123516.0,123516.0,123516.0,123516.0,123516.0,123516.0,123516.0,123516.0,123516.0,123516.0,123516.0,9095.0,9095.0,9095.0,9095.0,9095.0,9095.0,8621.0,8621.0,8621.0,8621.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,11518.0,5367.0,60195.0,35841.0,8691.0,685
2729.0,2729.0,2729.0,2729.0,2729.0,2729.0,2729.0,2729.0,2729.0,2729.0,2729.0,2729.0,10751.0,10751.0,10751.0,10751.0,10751.0,10751.0,124494.0,124494.0,124494.0,124494.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,13008.0,5559.0,,44325.0,9419.0,1063
3835.0,3835.0,3835.0,3835.0,3835.0,3835.0,3835.0,3835.0,3835.0,3835.0,3835.0,3835.0,14239.0,14239.0,14239.0,14239.0,14239.0,14239.0,124644.0,124644.0,124644.0,124644.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,14568.0,5567.0,,44761.0,11293.0,1641
4735.0,4735.0,4735.0,4735.0,4735.0,4735.0,4735.0,4735.0,4735.0,4735.0,4735.0,4735.0,14711.0,14711.0,14711.0,14711.0,14711.0,14711.0,10137.0,10137.0,10137.0,10137.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,124023.0,,45009.0,11595.0,1785
5433.0,5433.0,5433.0,5433.0,5433.0,5433.0,5433.0,5433.0,5433.0,5433.0,5433.0,5433.0,18191.0,18191.0,18191.0,18191.0,18191.0,18191.0,10505.0,10505.0,10505.0,10505.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,14738.0,6769.0,,58377.0,14127.0,1787
5645.0,5645.0,5645.0,5645.0,5645.0,5645.0,5645.0,5645.0,5645.0,5645.0,5645.0,5645.0,18229.0,18229.0,18229.0,18229.0,18229.0,18229.0,11025.0,11025.0,11025.0,11025.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,15212.0,124125.0,,59823.0,16725.0,123393
