avg,long_bar,mean
0.03,94,0.041101694915254235
0.04,65,0.04218346253229974
0.04,70,0.03982555891921468
0.04,106,0.04603321033210332
0.02,125,0.0389963167587477
0.03,123,0.03787223363709083
0.04,86,0.0425
0.02,104,0.03481067125645439
0.02,106,0.03390625
0.05,116,0.04083333333333333
0.23,86,0.04393687707641196
0.03,96,0.04540572792362769
0.03,88,0.04344660194174757
0.03,90,0.043575418994413403
0.49,74,0.0458029197080292
0.03,88,0.036394658388153846
0.03,96,0.04096638655462185
0.03,70,0.037954545454545456
0.48,64,0.049568965517241374
0.03,112,0.042168674698795185
0.03,72,0.04507042253521127
0.03,77,0.04692307692307692
0.03,91,0.03804347826086956
0.02,121,0.040078405636916274
0.03,89,0.04350649350649351
0.05,58,0.048582581758741694
0.03,84,0.047119036288478945
0.49,527,0.42945544554455445
0.05,76,0.049782608695652174
0.03,66,0.049568965517241374
0.02,101,0.03576795463402375
0.02,104,0.04312798783137766
0.02,112,0.036409498662283386
0.08,65,0.42930622009569375
0.1,53,0.429639175257732
0.03,74,0.034068503688043
0.05,75,0.044478458560302525
0.04,46,0.4296875
0.48,57,0.046755725190839696
0.04,72,0.0490506329113924
0.47,67,0.2141732283464567
0.03,65,0.04989082969432314
0.21,71,0.05067567567567568
0.04,71,0.04603321033210332
0.03,74,0.045647400522799884
0.03,106,0.04395126705653021
0.48,58,0.4291860465116279
0.04,89,0.04709302325581396
0.03,73,0.03792517006802721
0.04,71,0.04472318339100346
0.03,56,0.4285234899328859
0.03,84,0.04237989917059685
0.04,74,0.05129757785467129
0.04,75,0.047619047619047616
0.04,74,0.03903940886699507
0.49,66,0.42991803278688523
0.19,51,0.1857446808510638
0.49,60,0.4311764705882353
0.49,60,0.4306603773584906
0.2,60,0.4291860465116279
0.06,56,0.06153846153846154
0.08,53,0.21810344827586206
0.21,65,0.17400000000000002
0.19,60,0.43083333333333335
0.21,54,0.17837837837837836
0.47,66,0.4313380281690141
0.47,48,0.4314748201438849
0.49,54,0.43104026845637583
0.49,66,0.4303571428571429
0.25,44,0.22608695652173913
0.48,65,0.22155688622754488
0.47,57,0.43125
0.26,59,0.4314935064935065
0.18,52,0.17641509433962266
0.44,58,0.26657458563535913
0.23,57,0.22105263157894736
