art_100,M1317,0.247,0323C,0.249,0459A,0.26,TRS15,0.244
art_101,M2343,0.247,TRS7,0.26,2337R,0.249,Bir-276,0.244
art_102,MbURU-001,0.249,1732J,0.253,UT0044,0.246,TRS29,0.252
art_103,ATCCBAA-935,0.223,Bir-272,0.223,2336Q,0.221,J09500385,0.227,H37rv,0.107
art_104,D8788,0.256,Bir-422,0.251,M1475,0.251,1084E,0.242
art_105,Bir-236,0.257,2484B,0.241,M2218,0.257,CCDC5180,0.245
art_106,MAL010137,0.25,M2346,0.252,Bir-421,0.256,K09700503,0.241
art_107,M1270,0.254,Bir-429,0.248,Bir178,0.248,MD18112,0.25
art_108,2489F,0.249,300239,0.247,UM-CSF04,0.247,M0020843-0,0.257
art_109,I0003206-5,0.266,B00001265,0.252,2484B,0.243,I0002150-6,0.239
art_10,A70196,0.253,Bir-145,0.252,J09500392,0.244,2393C,0.251
art_110,MDRMA2491,0.248,TRS8,0.255,OFXR-29,0.244,02-R1151,0.253
art_111,2926STDY5723518,0.254,2467H,0.247,Bir-220,0.255,Bir-214,0.245
art_112,China,0.254,Bir-30,0.243,2594W,0.25,ATCC35740,0.253
art_113,0A012DS,0.25,TRS12,0.247,0283J,0.252,UT0096,0.251
art_114,MbURU-022,0.221,Bir-141,0.224,0019X,0.23,2347C,0.223,H37rv,0.102
art_115,EE0506784,0.252,M1533,0.258,KT-0051,0.238,0019X,0.252
art_116,H2101,0.252,0925G,0.256,I0002687-7,0.245,TKK_04_0153,0.246
art_117,2405Q,0.25,Bir-231,0.248,M2346,0.255,UT0090,0.246
art_118,H1578,0.253,00-R1244,0.253,Bir-265,0.251,2334N,0.243
art_119,N09501026,0.254,UM-1072388579,0.244,OFXR-12,0.251,Bir-302,0.251
art_11,1537X,0.253,Bir-419,0.249,M1488,0.254,0365Y,0.243
art_120,Bir-175,0.252,Bir-38,0.249,Bir-260,0.248,2626F,0.251
art_121,M1287,0.252,Bir-88,0.249,M2442,0.25,0520R,0.25
art_122,25,0.251,Bir-127,0.252,J09800745,0.251,M2084,0.247
art_123,Bir-103,0.255,Bir-29,0.242,00-R1244,0.25,01-R1196,0.253
art_124,01-R0270,0.256,PanR0605,0.252,M1520,0.247,Bir-92,0.245
art_125,2180W,0.252,M2142,0.247,Bir-174,0.245,Bir-451,0.256
art_126,R09500613,0.247,A70762,0.253,44503,0.25,1336D,0.25
art_127,Bir-251,0.243,0B076XDR,0.248,TKK_02_0037,0.261,401555,0.248
art_128,0645C,0.248,type-strain:-2201,0.254,PanR0606,0.256,type-strain:-1695,0.242
art_129,2351G,0.249,03-04003,0.268,H00200930,0.249,49-02,0.233
art_12,0525X,0.217,2483AR,0.222,Bir-75,0.212,KT-0098,0.207,H37rv,0.141
art_130,Bir-296,0.244,2390Z,0.252,MTBR1-09,0.252,TRS12,0.252
art_131,2369B,0.261,BIR-15,0.25,AUH8,0.248,BTB12-094,0.241
art_132,M1448,0.25,China,0.25,I0005322-8,0.247,KT-0014,0.252
art_133,Bir-160,0.211,TKK_03_0101,0.206,A70480,0.219,BTB07-299,0.21,H37rv,0.154
art_134,1821ADB37,0.253,Bir-220,0.252,2926STDY5723661,0.25,M1309,0.245
art_135,1377Y,0.254,Bir-459,0.257,type-strain:-2408,0.245,2926STDY5723623,0.243
art_136,M1010_1,0.249,0528A,0.254,MD16553,0.25,R09500613,0.246
art_137,PR08_1,0.246,2236G,0.259,A70250,0.249,0473Q,0.246
art_138,M2132,0.254,0486E,0.25,2926STDY5723549,0.243,02-R1933,0.253
art_139,I0001406-3,0.221,H09601792,0.227,M09402043,0.226,Bir-32,0.214,H37rv,0.112
art_13,Bir-408,0.247,2597Z,0.253,Bir-116,0.255,BTB09-184,0.244
art_140,KT-0012,0.256,XTB13-249,0.246,UT0106,0.252,0678N,0.246
art_141,M1728,0.25,M1734,0.253,I0002531-7,0.247,GG-90-10,0.251
art_142,Bir-235,0.251,PanR0403,0.247,0666A,0.253,2926STDY5723666,0.249
art_143,Bir-98,0.25,Bir-53,0.253,ATCC35740,0.247,Bir-68,0.249
art_144,2382Q,0.25,Bir-158,0.253,TRS6,0.249,631,0.248
art_145,03-R0091,0.254,UT307,0.252,0728S,0.257,B09601926,0.237
art_146,TKK-01-0092,0.252,2634P,0.247,M0005584-9,0.243,2296X,0.258
art_147,Bir-225,0.217,0649G,0.208,OSDD493,0.209,A70480,0.199,H37rv,0.166
art_148,MAL010084,0.25,BTB08-148,0.252,99-R874,0.25,BTB06-467,0.248
art_149,TB_RSA96,0.248,I0000968-3,0.25,BTB04-172,0.257,M1397,0.245
art_14,M1213,0.212,2926STDY5723520,0.227,type-strain:-2500,0.212,TKK_04_0079,0.214,H37rv,0.134
art_150,OFXR-30,0.253,2926STDY5723723,0.249,XDR1221,0.245,J09602061,0.254
art_151,Bir-474,0.248,NRITLD56,0.249,00-R1245-2,0.26,I0005682-5,0.243
art_152,Bir-242,0.259,M1978,0.252,MAL020135,0.25,99-R874,0.239
art_153,Bir-459,0.252,TKK_03_0026,0.252,Bir-134,0.248,C3,0.248
art_154,M990,0.251,H2101,0.249,2478V,0.256,type-strain:-0890,0.243
art_155,Aethiop_vetus_230,0.251,type-strain:-0338,0.254,02-R1024,0.254,XTB13-089,0.241
art_156,Bir-409,0.256,2382Q,0.246,Bir-243,0.254,OM-V02_005,0.244
art_157,I0005726-0,0.251,OFXR-27,0.254,Y09400034,0.254,AUH7,0.24
art_158,0B169XDR,0.224,ATCCBAA-935,0.225,2251Y,0.214,C4_16679,0.223,H37rv,0.114
art_159,PanR1101,0.253,BT1,0.249,XTB13-128,0.25,KT-0056,0.248
art_15,AH26_26663,0.243,Bir-312,0.257,200625,0.254,2358P,0.247
art_160,M2140,0.25,MB1,0.248,Bir-224,0.249,0996J,0.253
art_161,MD15050,0.266,2594W,0.254,0520R,0.232,BTB12-002,0.248
art_162,UM-CSF01,0.252,Bir-52,0.245,A70596,0.247,MAL010103,0.255
art_163,UT0104,0.258,06-18635,0.245,0399K,0.247,A70645,0.25
art_164,2174P,0.25,CDC1551,0.245,G09801536,0.25,0466H,0.255
art_165,type-strain:-2385,0.258,0896A,0.236,0955P,0.252,SLM056,0.254
art_166,2234E,0.252,M2193,0.259,Bir-50,0.252,TB_RSA175,0.238
art_167,B09601926,0.251,Bir-226,0.246,2074CJ,0.256,D00501624,0.247
art_168,Bir-423,0.254,NCGM946K2,0.255,TRS9,0.244,D00000071,0.247
art_169,2537J,0.252,0322B,0.245,2337R,0.253,AUH7,0.251
art_16,BIR-03,0.213,Kurono,0.217,A70280,0.216,2489F,0.211,H37rv,0.144
art_170,1487S,0.258,AUH5,0.247,UT0037,0.242,0427Q,0.253
art_171,0925G,0.222,Bir-115,0.23,2625E,0.227,UT0069,0.217,H37rv,0.104
art_172,Bir-66,0.25,1942M,0.263,2391A,0.243,0533F,0.244
art_173,TB_RSA175,0.211,PanR0908,0.203,0836K,0.215,PR10,0.218,H37rv,0.154
art_174,M0003226-9,0.255,XDR1221,0.254,Bir-388,0.249,Bir-177,0.243
art_175,Bir-464,0.261,KT-0183,0.245,Bir-278,0.249,2433W,0.245
art_176,BTB06-340,0.249,K09700503,0.255,UT0098,0.255,MAL020197,0.241
art_177,M1425,0.219,K00500041,0.223,2182Y,0.225,2540P,0.219,H37rv,0.114
art_178,0459A,0.259,MTB20_M,0.248,Bir-32,0.255,1507P,0.239
art_179,0B169XDR,0.25,TKK_04_0029,0.246,00-R1152,0.249,0441F,0.256
art_17,2516L,0.261,H2375,0.255,KT-0091,0.246,0A012DS,0.238
art_180,M2086,0.251,Bir-474,0.253,AUH7,0.242,2541MS,0.254
art_181,M2134,0.253,Bir-311,0.247,type-strain:-0292,0.251,I0000522-8,0.249
art_182,H2375,0.248,0524W,0.253,KT-0029,0.25,M1340,0.25
art_183,0A094DS,0.243,UT0115,0.254,Bir-93,0.256,KT-0100,0.247
art_184,Bir-284,0.251,I0005443-2,0.249,0647E,0.248,TRS1,0.252
art_185,632,0.246,H3361,0.248,BTB11-289,0.254,1397V,0.252
