art_100,M0020454-6,0.699,1355Z,0.301
art_101,MAL010105,0.699,BTB10-253,0.301
art_102,Bir-287,0.699,410,0.301
art_103,112400015,0.301,type-strain:-0545,0.699
art_104,2462C,0.696,E09801032,0.304
art_105,3280CJ,0.7,GG-77-11,0.3
art_106,0B218DS,0.699,MB2,0.301
art_107,M1559,0.699,UT205,0.301
art_108,Bir-419,0.699,0400L,0.301
art_109,TBR-102,0.702,K09700503,0.298
art_10,M2144,0.703,2392B,0.297
art_110,UT0038,0.71,N09900855,0.29
art_111,H2463,0.704,2926STDY5723661,0.296
art_112,0043Y,0.301,UT0096,0.699
art_113,GG-109-10,0.697,2505Z,0.303
art_114,Bir-242,0.701,Bir-176,0.299
art_115,G09801536,0.7,TKK_03_0089,0.3
art_116,I0000374-4,0.707,2585L,0.293
art_117,OFXR-6,0.7,KT-0204,0.3
art_118,2276A,0.7,Bir180,0.3
art_119,Bir-144,0.697,I0001443-6,0.303
art_11,0733Y,0.699,F00002017,0.301
art_120,03-R0088,0.697,2926STDY5723727,0.303
art_121,MAL020148,0.702,type-strain:-1879,0.298
art_122,Q09901557,0.301,400739,0.699
art_123,KT-0034,0.303,TKK_02_0079,0.697
art_124,CCDC5079_1,0.3,Bir-181,0.7
art_125,TKK_03_0082,0.696,02-R0846,0.304
art_126,Bir-349,0.3,Bir-133,0.7
art_127,type-strain:-0660,0.7,M1404,0.3
art_128,00-15489,0.708,0479X,0.292
art_129,Bir-93,0.703,H2760,0.297
art_12,2011-0565,0.239,Bir-144,0.553,H37rv,0.208
art_130,Bir-474,0.7,Bir-139,0.3
art_131,Bir-136,0.301,Bir-133,0.699
art_132,XTB13-119,0.693,UT0112,0.307
art_133,KT-0185,0.699,Bir-278,0.301
art_134,402248,0.702,OFXR-13,0.298
art_135,2336Q,0.698,OFXR-12,0.302
art_136,0498S,0.307,I0004426-8,0.693
art_137,2926STDY5723480,0.702,7199-99,0.298
art_138,C0004133-6,0.7,Bir-265,0.3
art_139,1537X,0.698,M0017764-3,0.302
art_13,I09400970,0.701,Bir-247,0.299
art_140,2391A,0.7,MAL020135,0.3
art_141,KT-0203,0.699,GG-229-10,0.301
art_142,Bir-306,0.699,Bir-112,0.301
art_143,ATCCBAA-824,0.695,TBV4768,0.305
art_144,J09500385,0.701,C2_2,0.299
art_145,2525W,0.698,01-R1278,0.302
art_146,Bir-130,0.7,Bir-33,0.3
art_147,GG-109-10,0.699,1772C,0.301
art_148,Bir-134,0.701,TB_RSA149,0.299
art_149,BTB05-285,0.695,M00201208,0.305
art_14,Bir-265,0.7,00-R1244,0.3
art_150,PanR0304,0.691,KT-0199,0.309
art_151,2234E,0.7,Bir-173,0.3
art_152,L_13621,0.7,I09702330,0.3
art_153,SIT745-EAI1-MYS,0.301,02-R0142,0.699
art_154,TKK_02_0010,0.69,A70645,0.31
art_155,TKK_03_0098,0.698,I0005682-5,0.302
art_156,1325R,0.698,MTB1,0.302
art_157,BTB04-158,0.7,2926STDY5723773,0.3
art_158,MTB1_M,0.702,M1393,0.298
art_159,2333M,0.706,G09901357,0.294
art_15,ZMC13-88,0.699,2926STDY5723702,0.301
art_160,Aethiop_vetus_234,0.703,Bir-255,0.297
art_161,M2384,0.697,TRS1,0.303
art_162,0539M,0.702,KT-0085,0.298
art_163,TKK_03_0115,0.7,NRITLD57,0.3
art_164,Bir-27,0.701,PanR0403,0.299
art_165,TBMENG-03,0.7,M0002998-4,0.3
art_166,M1932,0.697,N09902308,0.303
art_167,A70011_6,0.692,0277C,0.308
art_168,KT-0028,0.697,A70490,0.303
art_169,0052H,0.701,BTB08-356,0.299
art_16,02-R1551,0.701,632,0.299
art_170,A00301419,0.697,GG-77-11,0.303
art_171,B00001265,0.698,E09701191,0.302
art_172,Bir-416,0.7,SIT745-EAI1-MYS,0.3
art_173,2926STDY5723733,0.7,0174Q,0.3
art_174,Beijing2014PNGD,0.697,2926STDY5723441,0.303
art_175,MP2,0.703,2011-0565,0.297
art_176,BE_116771,0.7,1700284,0.3
art_177,TB_RSA149,0.699,M0009182-8,0.301
art_178,112400015,0.301,H107,0.699
art_179,A70011_2,0.704,GG-27-11,0.296
art_17,Bir-42,0.696,0284K,0.304
art_180,2559H,0.7,LN3672,0.3
art_181,M0506147,0.697,MAL020173,0.303
art_182,type-strain:-2500,0.696,MD18489,0.304
art_183,H111920015,0.697,PanR0403,0.303
art_184,GG-36-11,0.702,M0018060-5,0.298
art_185,UT0071,0.704,2538K,0.296
art_186,KT-0099,0.699,662,0.301
art_187,MD16568,0.701,type-strain:-2339,0.299
art_188,2248V,0.697,J09900583,0.303
art_189,MAL020107,0.702,Bir-279,0.298
art_18,I0001406-3,0.702,J09500392,0.298
art_190,Bir-91,0.698,OSDD518,0.302
art_191,0B076XDR,0.304,0344A,0.696
art_192,0344A,0.7,T09800777,0.3
art_193,0754W,0.694,UT0071,0.306
art_194,2214H,0.304,UT0100,0.696
art_195,Bir-124,0.699,2267Q,0.301
art_196,2516L,0.701,0638V,0.299
art_197,H_13571,0.702,667,0.298
art_198,1343L,0.696,J09902073,0.304
art_199,0323C,0.704,M1317,0.296
art_19,J09500392,0.695,2393C,0.305
art_1,UT0014,0.7,Bir192,0.3
art_200,0459A,0.704,TRS15,0.296
art_20,A70196,0.301,Bir-145,0.699
art_21,Bir-419,0.701,1537X,0.299
art_22,0365Y,0.7,M1488,0.3
art_23,KT-0098,0.213,2483AR,0.49,H37rv,0.297
art_24,0525X,0.698,Bir-75,0.302
art_25,BTB09-184,0.701,2597Z,0.299
art_26,Bir-408,0.702,Bir-116,0.298
art_27,TKK_04_0079,0.584,2926STDY5723520,0.257,H37rv,0.159
art_28,M1213,0.702,type-strain:-2500,0.298
art_29,Bir-312,0.3,2358P,0.7
art_2,01-R0228,0.699,2074CJ,0.301
art_30,AH26_26663,0.697,200625,0.303
art_31,BIR-03,0.704,A70280,0.296
art_32,2489F,0.591,Kurono,0.248,H37rv,0.161
art_33,KT-0091,0.7,0A012DS,0.3
art_34,H2375,0.7,2516L,0.3
art_35,01-R0712,0.699,HN-506,0.301
art_36,NRITLD17,0.703,01-R0824,0.297
art_37,Bir-251,0.695,Aethiop_vetus_232,0.305
art_38,Bir-475,0.704,0912S,0.296
art_39,M2141,0.699,type-strain:-0545,0.301
art_3,Mtb43,0.704,TRS14,0.296
art_40,Bir-133,0.701,0647E,0.299
art_41,Bir-32,0.699,02-R1933,0.301
art_42,2196MM,0.697,AUH13,0.303
