0323C,0459A,M1317,TRS15
2337R,Bir-276,M2343,TRS7
1732J,MbURU-001,TRS29,UT0044
2336Q,ATCCBAA-935,Bir-272,J09500385
1084E,Bir-422,D8788,M1475
2484B,Bir-236,CCDC5180,M2218
Bir-421,K09700503,M2346,MAL010137
Bir-429,Bir178,M1270,MD18112
2489F,300239,M0020843-0,UM-CSF04
2484B,B00001265,I0002150-6,I0003206-5
2393C,A70196,Bir-145,J09500392
02-R1151,MDRMA2491,OFXR-29,TRS8
2467H,2926STDY5723518,Bir-214,Bir-220
2594W,ATCC35740,Bir-30,China
0283J,0A012DS,TRS12,UT0096
0019X,2347C,Bir-141,MbURU-022
0019X,EE0506784,KT-0051,M1533
0925G,H2101,I0002687-7,TKK_04_0153
2405Q,Bir-231,M2346,UT0090
00-R1244,2334N,Bir-265,H1578
Bir-302,N09501026,OFXR-12,UM-1072388579
0365Y,1537X,Bir-419,M1488
2626F,Bir-175,Bir-260,Bir-38
0520R,Bir-88,M1287,M2442
25,Bir-127,J09800745,M2084
00-R1244,01-R1196,Bir-103,Bir-29
01-R0270,Bir-92,M1520,PanR0605
2180W,Bir-174,Bir-451,M2142
1336D,44503,A70762,R09500613
0B076XDR,401555,Bir-251,TKK_02_0037
0645C,PanR0606,type-strain:-1695,type-strain:-2201
03-04003,2351G,49-02,H00200930
0525X,2483AR,Bir-75,KT-0098
2390Z,Bir-296,MTBR1-09,TRS12
2369B,AUH8,BIR-15,BTB12-094
China,I0005322-8,KT-0014,M1448
A70480,BTB07-299,Bir-160,TKK_03_0101
1821ADB37,2926STDY5723661,Bir-220,M1309
1377Y,2926STDY5723623,Bir-459,type-strain:-2408
0528A,M1010_1,MD16553,R09500613
0473Q,2236G,A70250,PR08_1
02-R1933,0486E,2926STDY5723549,M2132
Bir-32,H09601792,I0001406-3,M09402043
2597Z,BTB09-184,Bir-116,Bir-408
0678N,KT-0012,UT0106,XTB13-249
GG-90-10,I0002531-7,M1728,M1734
0666A,2926STDY5723666,Bir-235,PanR0403
ATCC35740,Bir-53,Bir-68,Bir-98
2382Q,631,Bir-158,TRS6
03-R0091,0728S,B09601926,UT307
2296X,2634P,M0005584-9,TKK-01-0092
0649G,A70480,Bir-225,OSDD493
99-R874,BTB06-467,BTB08-148,MAL010084
BTB04-172,I0000968-3,M1397,TB_RSA96
2926STDY5723520,M1213,TKK_04_0079,type-strain:-2500
2926STDY5723723,J09602061,OFXR-30,XDR1221
00-R1245-2,Bir-474,I0005682-5,NRITLD56
99-R874,Bir-242,M1978,MAL020135
Bir-134,Bir-459,C3,TKK_03_0026
2478V,H2101,M990,type-strain:-0890
02-R1024,Aethiop_vetus_230,XTB13-089,type-strain:-0338
2382Q,Bir-243,Bir-409,OM-V02_005
AUH7,I0005726-0,OFXR-27,Y09400034
0B169XDR,2251Y,ATCCBAA-935,C4_16679
BT1,KT-0056,PanR1101,XTB13-128
200625,2358P,AH26_26663,Bir-312
0996J,Bir-224,M2140,MB1
0520R,2594W,BTB12-002,MD15050
A70596,Bir-52,MAL010103,UM-CSF01
0399K,06-18635,A70645,UT0104
0466H,2174P,CDC1551,G09801536
0896A,0955P,SLM056,type-strain:-2385
2234E,Bir-50,M2193,TB_RSA175
2074CJ,B09601926,Bir-226,D00501624
