1,1.1,1.1.1,1.1.1.1,1.1.2,1.1.3,1.1.3.1,1.1.3.2,1.1.3.3,1.2.1,1.2.2,1.2.2.1,2,2.1,2.2,2.2.1,2.2.1.1,2.2.2,3,3.1.1,3.1.2,3.1.2.1,3.1.2.2,4,4.1,4.1.1,4.1.1.1,4.1.1.2,4.1.1.3,4.1.1.3.1,4.1.2,4.1.2.1,4.1.2.1.1,4.1.3,4.1.4,4.2,4.2.1,4.2.1.1,4.2.2,4.2.2.1,4.2.2.2,4.3,4.3.1,4.3.1.1,4.3.2,4.3.2.1,4.3.3,4.3.4,4.3.4.1,4.3.4.2,4.3.4.2.1,4.4,4.4.1,4.4.1.1,4.4.1.1.1,4.4.1.2,4.5,4.6,4.6.1,4.6.1.1,4.6.1.2,4.6.2,4.6.2.1,4.6.2.2,4.6.3,4.6.4,4.6.5,4.7,4.8,4.8.1,4.8.2,4.8.3,4.9.1,5,6,7,8,9,bov,cap,oryg
T22961G,T22961G,T22961G,T22961G,T22961G,T22961G,T22961G,T22961G,T22961G,T22961G,T22961G,T22961G,G36008C,G36008C,G36008C,G36008C,G36008C,G36008C,G54842T,G54842T,G54842T,G54842T,G54842T,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A3192G,T89113G,C8876T,G4661A,G59257A,C24294T,C10223G,A5516G
G65159A,G65159A,G65159A,G65159A,G65159A,G65159A,G65159A,G65159A,G65159A,G65159A,G65159A,G65159A,C39158G,C39158G,C39158G,C39158G,C39158G,C39158G,C69984A,C69984A,C69984A,C69984A,C69984A,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,C9566T,T92016G,G11924A,G10596A,C97898T,A29999C,G24421A,G6109A
C65663G,C65663G,C65663G,C65663G,C65663G,C65663G,C65663G,C65663G,C65663G,C65663G,C65663G,C65663G,C87468T,C87468T,C87468T,C87468T,C87468T,C87468T,A129576C,A129576C,A129576C,A129576C,A129576C,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,C25386T,C134014T,C13445T,C11979A,C143535T,A184727G,C34514T,C19376T
T74737G,T74737G,T74737G,T74737G,T74737G,T74737G,T74737G,T74737G,T74737G,T74737G,T74737G,T74737G,C282892T,C282892T,C282892T,C282892T,C282892T,C282892T,C157129T,C157129T,C157129T,C157129T,C157129T,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C27947T,G135398A,T14806C,G23098A,A153263G,C228731T,G39688T,A19964C
T115499G,T115499G,T115499G,T115499G,T115499G,T115499G,T115499G,T115499G,T115499G,T115499G,T115499G,T115499G,G353365A,G353365A,G353365A,G353365A,G353365A,G353365A,G170671A,G170671A,G170671A,G170671A,G170671A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,A3420825A,C40177T,C140644T,C15735T,G26503A,G164846A,G267329A,A44823C,G30579A
C137233T,C137233T,C137233T,C137233T,C137233T,C137233T,C137233T,C137233T,C137233T,C137233T,C137233T,C137233T,C484596T,C484596T,C484596T,C484596T,C484596T,C484596T,C172492G,C172492G,C172492G,C172492G,C172492G,,T51954A,T51954A,T51954A,T51954A,T51954A,T51954A,T51954A,T51954A,T51954A,T51954A,T51954A,C43722T,C43722T,C43722T,C43722T,C43722T,C43722T,G162581A,G162581A,G162581A,G162581A,G162581A,G162581A,G162581A,G162581A,G162581A,G162581A,C753088T,C753088T,C753088T,C753088T,C753088T,C281316T,G18091A,G18091A,G18091A,G18091A,G18091A,G18091A,G18091A,G18091A,G18091A,G18091A,A201896G,T1082445A,T1082445A,T1082445A,T1082445A,A384380A,T50059A,C141261T,C22303G,G27921A,A170022C,G268277C,C53688T,C42756T
C144564T,C144564T,C144564T,C144564T,C144564T,C144564T,C144564T,C144564T,C144564T,C144564T,C144564T,C144564T,G497491A,G497491A,G497491A,G497491A,G497491A,G497491A,T264992C,T264992C,T264992C,T264992C,T264992C,,G284623A,G284623A,G284623A,G284623A,G284623A,G284623A,G284623A,G284623A,G284623A,G284623A,G284623A,A103181G,A103181G,A103181G,A103181G,A103181G,A103181G,C534691T,C534691T,C534691T,C534691T,C534691T,C534691T,C534691T,C534691T,C534691T,C534691T,C1052899T,C1052899T,C1052899T,C1052899T,C1052899T,G349200A,C54304T,C54304T,C54304T,C54304T,C54304T,C54304T,C54304T,C54304T,C54304T,C54304T,G716918A,G1130526A,G1130526A,G1130526A,G1130526A,C2830525C,T51892C,G162948A,C25223G,C35212A,G219755T,T294453C,T65778G,A44625T
G162226A,G162226A,G162226A,G162226A,G162226A,G162226A,G162226A,G162226A,G162226A,G162226A,G162226A,G162226A,G627485A,G627485A,G627485A,G627485A,G627485A,G627485A,C274463A,C274463A,C274463A,C274463A,C274463A,,C489073G,C489073G,C489073G,C489073G,C489073G,C489073G,C489073G,C489073G,C489073G,C489073G,C489073G,T202675C,T202675C,T202675C,T202675C,T202675C,T202675C,G709226A,G709226A,G709226A,G709226A,G709226A,G709226A,G709226A,G709226A,G709226A,G709226A,G1103786T,G1103786T,G1103786T,G1103786T,G1103786T,G801697A,T122794G,T122794G,T122794G,T122794G,T122794G,T122794G,T122794G,T122794G,T122794G,T122794G,A796876G,C1227217T,C1227217T,C1227217T,C1227217T,G4055801G,C60059T,C198313A,T32767C,G42246T,C230258T,A382991G,G94718A,G44812T
C167986T,C167986T,C167986T,C167986T,C167986T,C167986T,C167986T,C167986T,C167986T,C167986T,C167986T,C167986T,T628864C,T628864C,T628864C,T628864C,T628864C,T628864C,C301341A,C301341A,C301341A,C301341A,C301341A,,C686655T,C686655T,C686655T,C686655T,C686655T,C686655T,C686655T,C686655T,C686655T,C686655T,C686655T,C217306G,C217306G,C217306G,C217306G,C217306G,C217306G,G773809A,G773809A,G773809A,G773809A,G773809A,G773809A,G773809A,G773809A,G773809A,G773809A,C1226129T,C1226129T,C1226129T,C1226129T,C1226129T,C1435763T,C312944T,C312944T,C312944T,C312944T,C312944T,C312944T,C312944T,C312944T,C312944T,C312944T,A2378813G,C2212762T,C2212762T,C2212762T,C2212762T,C8978T,G60300A,C260610T,G48410A,C46892T,C273581T,G393748A,T108257G,A47881T
C196874T,C196874T,C196874T,C196874T,C196874T,C196874T,C196874T,C196874T,C196874T,C196874T,C196874T,C196874T,C657142T,C657142T,C657142T,C657142T,C657142T,C657142T,C324812T,C324812T,C324812T,C324812T,C324812T,,G765150A,G765150A,G765150A,G765150A,G765150A,G765150A,G765150A,G765150A,G765150A,G765150A,G765150A,G317540C,G317540C,G317540C,G317540C,G317540C,G317540C,G796509T,G796509T,G796509T,G796509T,G796509T,G796509T,G796509T,G796509T,G796509T,G796509T,G1320675A,G1320675A,G1320675A,G1320675A,G1320675A,C1555801T,G325038A,G325038A,G325038A,G325038A,G325038A,G325038A,G325038A,G325038A,G325038A,G325038A,G3220222A,C2809250T,C2809250T,C2809250T,C2809250T,C19436A,G73148A,G378404A,G49405T,T51247C,A277022G,T633729C,G121831A,C47950T
