avg,long_bar,mean
0.12,9,0.1012820512820513
0.11,22,0.09901315789473684
0.0,0,0.0
0.09,24,0.08613636363636364
0.09,5,0.1116326530612245
0.11,22,0.10300000000000002
0.07,6,0.07880690737833596
0.1,102,0.09743138634764252
0.1,6,0.11868686868686869
0.09,22,0.10277946845201867
0.09,21,0.08227342549923196
0.09,22,0.09845846417356552
0.09,11,0.08083857442348008
0.09,9,0.11232967032967034
0.08,12,0.09372019077901432
0.11,5,0.10606060606060606
0.08,19,0.09080091533180779
0.12,6,0.11775700934579438
0.08,10,0.0805624483043838
0.1,14,0.09744360902255639
0.12,15,0.09148453608247424
0.12,7,0.11630769230769232
0.1,5,0.1179250236270083
0.07,15,0.11917562724014337
0.1,10,0.08641364136413641
0.09,105,0.09218191108840061
0.09,17,0.09661125319693094
0.1,10,0.09944506104328525
0.09,33,0.0934640522875817
0.11,5,0.10260701967944817
0.08,96,0.07968717843177608
0.08,10,0.06805218446601942
0.07,7,0.07995921604169026
0.11,18,0.08397863818424565
0.1,70,0.09668705402650357
0.08,17,0.06881987577639752
0.12,7,0.12466430336233751
0.11,11,0.0912827928114026
0.11,14,0.0982170542635659
0.07,4,0.0816577540106952
0.09,14,0.08173913043478259
0.1,9,0.08864910790144435
0.1,8,0.1180193596425912
0.09,14,0.11833631484794277
0.09,22,0.08101894998446722
0.09,10,0.08448275862068966
0.11,9,0.10086095566078347
0.09,46,0.08173913043478259
0.07,5,0.12285263987391647
0.1,25,0.09444444444444444
0.09,20,0.08478375992939098
0.11,34,0.10372180451127817
0.11,9,0.10231023102310229
0.11,117,0.10539574468085107
0.09,7,0.11391579731743666
0.08,5,0.10130612244897959
0.08,16,0.08184215865287077
0.11,13,0.10039525691699604
0.09,14,0.10808477237048668
0.11,26,0.10472563614332699
0.1,15,0.09969418960244648
0.09,15,0.08758556891766882
0.1,34,0.09259748843357567
0.12,6,0.13060918462980317
0.08,10,0.08341666666666665
0.07,8,0.09647058823529413
0.09,32,0.08824771287825477
0.12,12,0.11463903743315507
0.09,18,0.08057311420143279
0.1,101,0.08106258148631029
0.09,99,0.07996369412298615
0.11,6,0.11051051051051049
0.08,19,0.07293759915388683
0.12,12,0.10702179176755448
0.1,33,0.08790593505039195
0.1,11,0.09893217893217894
0.08,13,0.08188190314358539
0.1,9,0.09555751691674023
0.11,84,0.1067738399707709
0.07,10,0.06658897355445989
0.08,17,0.09529816513761469
0.09,20,0.0887810448187268
0.1,112,0.08409425625920469
0.12,7,0.11205808080808081
0.08,12,0.07815126050420168
0.09,14,0.09973166368515207
0.07,9,0.1249345794392523
0.11,10,0.10615501519756838
0.11,58,0.10129411764705883
0.1,96,0.08142150247413404
0.08,7,0.0719695106958446
0.09,31,0.09327262044653349
0.1,11,0.09256381798002218
0.1,21,0.09784442361761951
0.1,12,0.1013109329260532
0.09,15,0.08939776415434547
0.09,10,0.08895257946847317
0.1,15,0.10231023102310229
0.11,14,0.09500269832703723
0.11,16,0.10025556772544725
0.11,8,0.1082174462705436
0.09,37,0.0732713915298185
0.09,11,0.08878899082568809
0.09,12,0.07561564461612746
0.1,114,0.08435612702123514
0.1,105,0.08410526315789474
0.08,6,0.12551779325927323
0.1,6,0.09582417582417584
0.08,2,0.10575659335845089
0.09,6,0.08209170431606266
0.09,13,0.10032687554811448
0.11,21,0.11667723525681674
0.1,37,0.09327102803738319
0.09,6,0.08860981308411214
0.09,7,0.07889730149485535
0.09,16,0.08311285466654503
0.11,6,0.10798270589475904
0.09,40,0.0846590909090909
0.12,9,0.09295412844036698
0.09,29,0.07980657640232108
0.08,32,0.07605845260734662
0.08,6,0.11040779062690202
0.11,9,0.07672900494001411
0.07,9,0.0751734693877551
0.1,16,0.09220560353907731
0.1,11,0.10184472723685507
0.12,10,0.10245726495726497
0.09,18,0.09044247787610621
0.1,9,0.0823608574449678
0.1,10,0.11165413533834585
