Sample_id,MixInfect,bayesian,Demixer,0,avg,long_bar,mean,,,,,,,,,,
ERR181783,Non-Mix,Non-mix,Non-Mix,medium,0.08,275,0.083712575,4.3.4.2.1,,,,,1,,,,
ERR181784,Mix,Mix,Mix,high,0.11,658,0.075116279,1.1.3.2,3.1.1,4.6.1.2,,,0.87,0.09,0.04,,
ERR181785,Mix,Mix,Mix,high,0.07,785,0.074489454,1.1.3.2,3.1.1,4.1.2,4.6.1.2,,0.03,0.08,0.08,0.81,
ERR181786,Non-Mix,Non-mix,Non-Mix,medium,0.09,259,0.096771998,4.3.4.1,,,,,1,,,,
ERR181787,Non-Mix,Non-mix,Non-Mix,high,0.12,209,0.115060008,4.3.4.2.1,,,,,1,,,,
ERR181788,Non-Mix,Non-mix,Non-Mix,medium,0.1,293,0.08190572,4.3.4.2.1,,,,,1,,,,
ERR181789,Non-Mix,Non-mix,Non-Mix,medium,0.08,368,0.081567218,4.1.1.3,,,,,1,,,,
ERR181790,Non-Mix,Non-mix,Non-Mix,medium,0.1,263,0.095662821,3.1.1,,,,,1,,,,
ERR181791,Non-Mix,Non-mix,Non-Mix,medium,0.12,300,0.09827234,4.3.4.2.1,,,,,1,,,,
ERR181792,Non-Mix,Non-mix,Non-Mix,medium,0.12,311,0.067553585,4.3.4.2.1,,,,,1,,,,
ERR181793,Non-Mix,Non-mix,Non-Mix,medium,0.11,349,0.084514563,1.2.2,,,,,1,,,,
ERR181794,Non-Mix,Non-mix,Non-Mix,low,0.08,372,0.077183373,1.2.2.1,,,,,1,,,,
ERR181795,Non-Mix,Non-mix,Non-Mix,low,0.1,406,0.068064497,1.1.3.2,,,,,1,,,,
ERR181796,Non-Mix,Non-mix,Non-Mix,medium,0.11,244,0.104107603,4.1.2,,,,,1,,,,
ERR181797,Non-Mix,Non-mix,Non-Mix,medium,0.11,255,0.098278278,3,,,,,1,,,,
ERR181798,Non-Mix,Non-mix,Non-Mix,high,0.12,217,0.115853659,1.1.2,,,,,1,,,,
ERR181799,Non-Mix,Non-mix,Non-Mix,medium,0.12,224,0.129977643,1.1.3.2,,,,,1,,,,
ERR181801,Non-Mix,Non-mix,Non-Mix,high,0.11,191,0.110274157,4.3.4.2.1,,,,,1,,,,
ERR181802,Non-Mix,Non-mix,Non-Mix,medium,0.11,259,0.096153846,3.1.1,,,,,1,,,,
ERR181803,Non-Mix,Non-mix,Non-Mix,medium,0.12,275,0.097990754,4.1.2,,,,,1,,,,
ERR181804,Non-Mix,Non-mix,Non-Mix,low,0.11,385,0.068193131,3.1.1,,,,,1,,,,
ERR181805,Non-Mix,Non-mix,Non-Mix,medium,0.1,280,0.087373245,4.3.4.2.1,,,,,1,,,,
ERR181806,Non-Mix,Non-mix,Non-Mix,medium,0.09,360,0.077431524,3,,,,,1,,,,
ERR181807,Non-Mix,Non-mix,Non-Mix,low,0.09,390,0.076419243,1.2.2.1,,,,,1,,,,
ERR181808,Non-Mix,Non-mix,Non-Mix,medium,0.12,241,0.107664516,3.1.1,,,,,1,,,,
ERR181809,Non-Mix,Non-mix,Non-Mix,medium,0.12,223,0.097402597,4.3.4.2.1,,,,,1,,,,
ERR181810,Mix,Mix,Non-Mix,high,0.16,131,0.145328611,1.2.2.1,,,,,1,,,,
ERR181811,Mix,Mix,Mix,medium,0.48,325,0.433898305,1.1.3.2,4.1.2,,,,0.65,0.35,,,
ERR181812,Non-Mix,Non-mix,Non-Mix,high,0.12,215,0.110454545,3.1.1,,,,,1,,,,
ERR181813,Mix,Mix,Mix,medium,0.35,343,0.319672131,1.1.3.2,4.3.4.2.1,_,,,0.46,0.53,0.01,,
ERR181814,Non-Mix,Non-mix,Non-Mix,high,0.11,212,0.115743905,4.3.4.2.1,,,,,1,,,,
ERR181815,Non-Mix,Non-mix,Non-Mix,low,0.11,382,0.068482087,3.1.1,,,,,1,,,,
ERR181816,Non-Mix,Non-mix,Non-Mix,medium,0.1,338,0.079511589,4.3.4.2.1,,,,,1,,,,
ERR181817,Non-Mix,Non-mix,Non-Mix,low,0.08,411,0.07068953,3.1.1,,,,,1,,,,
ERR181819,Non-Mix,Non-mix,Non-Mix,medium,0.12,271,0.089845261,1.1.3.2,,,,,1,,,,
ERR181820,Non-mix,Non-mix,Non-Mix,medium,0.12,240,0.09167314,1.1.3.2,,,,,1,,,,
ERR181821,Non-Mix,Non-mix,Non-Mix,high,0.12,205,0.116607143,2.2.1,,,,,1,,,,
ERR181822,Non-Mix,Non-mix,Non-Mix,high,0.15,171,0.122861492,4.1.2,,,,,1,,,,
ERR181823,Non-Mix,Non-mix,Non-Mix,high,0.12,158,0.118278018,4.1.2,,,,,1,,,,
ERR181825,Non-Mix,Non-mix,Non-Mix,medium,0.12,239,0.114018574,4.3.4.2.1,,,,,1,,,,
ERR181826,Non-Mix,Non-mix,Non-Mix,high,0.11,209,0.119168332,4,,,,,1,,,,
ERR181827,Mix,Mix,Mix,high,0.09,429,0.094315888,3.1.1,4.1.1.3,,,,0.03,0.97,,,
ERR181828,Mix,Mix,Mix,high,0.07,378,0.084504667,2.2.1,4.3.4.2.1,,,,0.98,0.02,,,
ERR181829,Non-Mix,Non-mix,Non-Mix,low,0.12,372,0.086502463,4.3.3,,,,,1,,,,
ERR181830,Non-Mix,Non-mix,Non-Mix,low,0.1,373,0.071037254,3.1.1,,,,,1,,,,
ERR181831,Non-Mix,Non-mix,Non-Mix,medium,0.1,342,0.080508475,1.2.2,,,,,1,,,,
ERR181832,Non-Mix,Non-mix,Non-Mix,medium,0.11,289,0.094559432,4.1.2,,,,,1,,,,
ERR181833,Non-Mix,Non-mix,Non-Mix,medium,0.1,235,0.105501744,4.3.4.2.1,,,,,1,,,,
ERR181834,Non-Mix,Non-mix,Non-Mix,high,0.12,197,0.110158693,4.1.2,,,,,1,,,,
ERR181835,Non-Mix,Non-mix,Non-Mix,high,0.12,188,0.118094406,4.3.4.2.1,,,,,1,,,,
ERR181836,Non-Mix,Non-mix,Non-Mix,medium,0.11,243,0.106421937,4.4.1.1,,,,,1,,,,
ERR181837,Non-Mix,Non-mix,Non-Mix,medium,0.12,247,0.112068966,4.6.1.2,,,,,1,,,,
ERR181838,Mix,Mix,Non-Mix,medium,0.12,263,0.098261052,4.1.2,,,,,1,,,,
ERR181839,Non-Mix,Non-mix,Mix,medium,0.07,334,0.081915436,4.1.1.3,4.3.4.2.1,,,,0.01,0.99,,,
ERR181840,Non-Mix,Non-mix,Non-Mix,low,0.07,382,0.070361903,4.3.4.2.1,,,,,1,,,,
ERR181841,Non-Mix,Non-mix,Non-Mix,low,0.11,372,0.072043369,4.3.4.2.1,,,,,1,,,,
ERR181842,Non-Mix,Non-mix,Non-Mix,medium,0.1,339,0.072709482,3.1.1,,,,,1,,,,
ERR181843,Non-Mix,Non-mix,Non-Mix,medium,0.08,341,0.079312723,4.3.4.2.1,,,,,1,,,,
ERR181844,Non-Mix,Non-mix,Non-Mix,medium,0.11,291,0.094056604,1.1.2,,,,,1,,,,
ERR181845,Mix,Mix,Non-Mix,medium,0.12,224,0.113078961,4.3.3,,,,,1,,,,
ERR181846,Non-Mix,Non-mix,Non-Mix,medium,0.14,235,0.098648649,3.1.1,,,,,1,,,,
ERR181847,Non-Mix,Non-mix,Non-Mix,high,0.12,195,0.117517278,4.1.1.3,,,,,1,,,,
ERR181848,Non-Mix,Non-mix,Non-Mix,medium,0.13,222,0.106988093,4.3.4.2.1,,,,,1,,,,
ERR181849,Mix,Mix,Mix,medium,0.1,352,0.104726707,2.2.1,4.4.1.1,4.6,,,0.96,0.01,0.03,,
ERR181850,Non-Mix,Non-mix,Non-Mix,medium,0.09,299,0.089069264,4.3.4.2.1,,,,,1,,,,
ERR181851,Non-Mix,Non-mix,Non-Mix,low,0.08,424,0.069215567,3.1.1,,,,,1,,,,
